link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
119,COMM 413,"COMM 413 Propaganda , Ideology and Public Controversy",,COMM 370,,,,
120,COMM 415,COMM 415m African American Rhetoric and Image,,,,COMM 311,,
121,COMM 458,COMM 458m Race and Ethnicity in Entertainment and the Arts,,,,,COMM 206,csr01787
122,CRIT 371,CRIT 371 Art in the Public Realm : Contemporary Issues,,PAS 371,,,,
123,DANC 302,DANC 302g Hip Hop Don't Stop : Exploring Black Vernacular Dance,,DANC 402,,,,
124,ENGL 341,ENGL 341 Women in English Literature before 1800,SWMS 341,ENGL 469,,,,
125,ENGL 342,ENGL 342g Women in English and American Literature after 1800,SWMS 342,ENGL 470,,,,
126,LING 375,Sociolinguistics,,,,,LING 210,
127,SOCI 342,SOCI 342m Race Relations,,,,,SOCI 200,
128,AMST 498,Senior Seminar in American Studies and Ethnicity,,,,,AMST 200,
129,HIST 355,HIST 355 The African-American Experience,,HIST 250,,,,
130,MUSC 320,MUSC 320gmw Hip-hop Music and Culture,,MUSC 420,,,,
131,AMST 274,AMST 274gmw Exploring Ethnicity through Film,,AMST 374,,,,
132,AMST 330,AMST 330m Black Music and the Political Imagination,,GEOG 350,,,,
133,AMST 389,AMST 389m Carceral Geographies,,,,,AMST 200,
134,ANTH 445,ANTH 445 African American Anthropology,,,,"AMST 385, ANTH 263",,
135,HIST 265,"HIST 265gw Racism , Sexism , and the Law",SWMS 265,,,,,
136,PSYC 462,PSYC 462m Culture and Mental Health,,,,PSYC 100,,csr02573
137,SOCI 432,SOCI 432m Racial and Ethnic Relations in a Global Society,AMST 432,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
138,AMST 378,AMST 378m Introduction to Asian American History,,HIST 378,,,,
139,AMST 150,AMST 150gw The American War in Viet Nam,,AMST 377,,,,
140,AMST 373,AMST 373m History of the Mexican American,,HIST 472,,,,
141,HIST 100,HIST 100gm The American Experience,,HIST 200,,,,
142,ENGL 442,"ENGL 442 American Literature , 1920 to the Present",,,ENGL 263,,,
143,REL 483,REL 483 Religion and Popular Culture in the United States,,,,REL 301,,
144,AMST 340,AMST 340m Latina/o LA,,GEOG 340,,,,
145,SOCI 100,SOCI 100gm Los Angeles and the American Dream,,"GEOG 100, AMST 100",,,,
146,SOCI 355,SOCI 355m Immigrants in the United States,,,,,SOCI 200,
147,ART 110,ART 110 Drawing for Art and Design,DES 110,FADW 101,,,,
148,CTAN 102,CTAN 102 L Introduction to the Art of Movement,,,,,CTAN 101,
149,CTAN 201,CTAN 201 L Intermediate Animation Production,,,,,CTAN 102,
150,CTAN 202,CTAN 202L Introduction to 3-D Character Animation,,,,,CTAN 201,
151,CTAN 301,CTAN 301L 3-D Character Performance Animation,,,,,CTAN 202,
152,CTAN 302,CTAN 302L Expanded Concepts in 2-D/3-D Animation,,,,,CTAN 301,
153,CTAN 336,CTAN 336 Ideation and Pre-Production,,,,,CTAN 301,
154,CTAN 401,CTAN 401a Senior Project,,,,,CTAN 336,
155,CNTV 495,CNTV 495 Internship in Cinematic Arts,,"CTPR 495, CTIN 495",,,,
156,PHED 120,PHED 120a Yoga,,PHED 120,,,,
157,DANC 181,DANC 181a Contemporary Dance,,THTR 181,,,,
158,DANC 184,DANC 184a Jazz Dance,,THTR 184,,,,
159,DANC 188,DANC 188a International Style Ballroom Dance,,THTR 188,,,,
160,DANC 189,DANC 189a Tap Dance,,THTR 189,,,,
161,ANTH 202,ANTH 202g Archaeology : Our Human Past,"CLAS 202, ARCG 202",,,,,
162,HBIO 200,HBIO 200Lg The Human Animal,ANTH 200,ANTH 200,,,,
163,ANTH 410,Ethnographic Field Methods and Practicum,,,,,ANTH 201,
164,ANTH 302,Humans and Ancient Environments,,,,"ANTH 202, GEOL 105, GEOL 150",,
165,ANTH 370,"ANTH 370 Sex , Love , and Marriage : An Introduction to Kinship",SWMS 370,,,,,
166,ANTH 481,ANTH 481L GIS for Investigating the Past,ARCG 481,,,"ANTH 202, SSCI 382",,
167,HBIO 300,"HBIO 300 Evolution , Ecology , and Culture",ANTH 300,ANTH 300,,,,
168,HBIO 405,HBIO 405 Evolutionary Medicine,ANTH 405,ANTH 405,,,"HBIO 200, BISC 120, BISC 121",
169,ANTH 310,ANTH 310 Archaeology of the Americas,ARCG 310,,,,,
170,ANTH 491,Directed Research for Honors,,,,,ANTH 201,
171,HBIO 406,HBIO 406 Theory and Method in Human Evolutionary Biology,ANTH 406,,,,HBIO 200,
172,HBIO 306,HBIO 306 Primate Social Behavior and Ecology,ANTH 306,ANTH 306,,HBIO 200,,
173,HBIO 308,HBIO 308 Origins and Evolution of Human Behavior,ANTH 308,ANTH 308,,,,
174,MATH 225,Linear Algebra and Linear Differential Equations,,,,,"MATH 127, MATH 126","udc00142, udc00158"
175,MATH 407,Probability Theory,,,,,"MATH 226, MATH 227","khn00877, khn00897, khn00927, khn00937, khn00947, khn00881, khn00901, khn00911, khn00871, khn00891"
176,MATH 458,MATH 458 Numerical Methods,,,,,"MATH 245, MATH 225",
177,MATH 370,Applied Algebra,,,,,"MATH 226, MATH 227, MATH 225, MATH 245",udc00152
178,MATH 408,MATH 408 Mathematical Statistics,,,,,MATH 407,udc00167
179,MATH 410,Fundamental Concepts of Modern Algebra,,,,,"MATH 225, MATH 450",
180,MATH 425,Fundamental Concepts of Analysis,,,,,"MATH 226, MATH 227, MATH 450",
181,MATH 430,Theory of Numbers,,,,,"MATH 127, MATH 126",
182,MATH 432,Applied Combinatorics,,,,,"MATH 226, MATH 227, MATH 225","csr00439, csr00641, csr01538, csr01577, csr00231"
183,MATH 435,Vector Analysis and Introduction to Differential Geometry,,,,,"MATH 226, MATH 227",
184,MATH 445,MATH 445 Mathematics of Physics and Engineering II,,,,,"MATH 226, MATH 227, MATH 225, MATH 245",
185,MATH 466,Dynamic Modeling,,,,,"MATH 245, MATH 225",
186,MATH 467,Theory and Computational Methods for Optimization,,,,,"MATH 226, MATH 227, MATH 225, MATH 245",
187,MATH 471,Topics in Linear Algebra,,,,,"MATH 410, MATH 225",udc00142
188,MATH 465,Nonlinear Dynamics in Science and Engineering,,,,,"MATH 245, MATH 225",
189,CSCI 103,CSCI 103L Introduction to Programming,,,"EE 109, CSCI 109",,,"csr01380, csr00002, csr00268, csr01258, csr02257, csr02427"
190,CE 205,Statics,,,,,PHYS 151,
191,CE 225,Mechanics of Deformable Bodies,,,,,CE 205,
