link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1123,CTWR 250,Breaking the Story,,,,CTWR 106,,
1124,CTWR 321,Introduction to Hour-Long Television Writing,,,,,"CTWR 412, CTWR 100, CTWR 402, CTWR 413",
1125,CTWR 421,CTWR 421 Writing the Hour-Long Dramatic Series,,,,,"CTWR 514, CTWR 411, CTWR 321, CTWR 529, CTWR 324",
1126,CTWR 434,CTWR 434 Writing the Half-Hour Comedy Series,,,,,"CTWR 321, CTWR 529, CTWR 404, CTWR 324",
1127,CTWR 437,CTWR 437 Writing the Original Situation Comedy Pilot,,,,,"CTWR 411, CTWR 421, CTWR 434",
1128,CTWR 439,CTWR 439 Writing the Original Dramatic Series Pilot,,,,,"CTWR 421, CTWR 434",
1129,CTWR 449,CTWR 449 Rewriting the Original Dramatic Series Pilot,,,,,"CTWR 411, CTWR 439",
1130,CTWR 453,CTWR 453 Advanced Feature Rewriting,,,,,"CTWR 415, CTWR 305",
1131,CTWR 419,Senior Thesis in Dramatic Television,,,,,"CTWR 411, CTWR 421, CTWR 305",
1132,CTWR 420,CTWR 420a Senior Thesis in Half-Hour Television Comedy,,,,,"CTWR 439, CTWR 437, CTWR 404",
1133,CTWR 459,Entertainment Industry Seminar,,,,,CTWR 459,
1134,CTWR 407,Creating the Comedic Character,,,,CTWR 404,,
1135,CTWR 433,Adaptations : Transferring Existing Work to the Screen,,,,,"CTWR 514, CTWR 529, CTWR 414, CTWR 206",
1136,CTWR 435,CTWR 435 Writing for Film and Television Genres,,,,,"CTWR 415, CTWR 206, CTWR 416",
1137,CTWR 438,CTWR 438 Linked Narrative Storytelling for the Web,,,,,"CTWR 514, CTWR 529, CTWR 414, CTWR 206",
1138,CTWR 468,CTWR 468 Screenwriting in Collaboration,,,,,"CTWR 514, CTWR 516, CTWR 415, CTWR 416, CTWR 305, CTWR 533",
1139,CTWR 477,CTWR 477 Staff Writing the Sketch Comedy Show,,,,,CTWR 404,
1140,CTWR 487,CTWR 487 Staff Writing the Multi-Camera Television Series,,,,,CTWR 434,
1141,CTWR 497,CTWR 497 Staff Writing the Single-Camera Half-Hour Series,,,,,"CTWR 404, CTWR 534, CTWR 434",
1142,CLAS 305,Roman Law,,,,"HIST 101, CLAS 151",,"csr01175, khn01112, khn01122, khn01132, khn01152"
1143,ENGL 355,ENGL 355g Anglo-American Law and Literature,,,,"ARLT 100, WRIT 150, CORE 102",,
1144,HIST 377,HIST 377 Law and Society in Premodern China and Japan,EALC 377,,,,,
1145,HIST 463,The Constitutional History of the United States,,,,"HIST 361, HIST 360",,
1146,EALC 304,Advanced Modern Chinese I,,,,,EALC 206,"csr02557, csr02558, csr02556"
1147,EALC 315,Advanced Korean I,,,,,EALC 217,
1148,EALC 320,Advanced Japanese I,,,,,EALC 222,
1149,EALC 400,Classical Chinese I,,,,,EALC 206,"csr02557, csr02558, csr02556"
1150,EALC 415,Advanced Korean III,,,,,EALC 317,
1151,EALC 386,Readings in Modern Korean Literature,,,,,EALC 217,
1152,ECON 318,ECON 318 Introduction to Econometrics,,ECON 414,,,ECON 317,
1153,IML 440,IML 440 Interdisciplinary Thesis,,,,,IML 346,
1154,ART 442,ART 442 Art and Technology,,FASC 436,,,,
1155,ART 120,ART 120 Painting I,,FAPT 105,,,,
1156,ART 151,ART 151 Digital Photography,,FAIN 210,,,,udc00135
1157,ART 210,ART 210 Drawing II,,FADW 201,,,"FADW 101, ART 110",
1158,ART 310,ART 310 Advanced Drawing,,FADW 301,,,"FADW 201, ART 210",
1159,CTAN 455,CTAN 455 L Organic Modeling for Animation,,,,"CTAN 462, CTAN 452",,
1160,CTAN 463,CTAN 463 L Creative Workflow in Visual Effects,,,,,CTAN 462,
1161,CTAN 464,CTAN 464 L Digital Lighting and Rendering,,,,,"CTAN 462, CTAN 452",
1162,CTAN 465,CTAN 465 L Digital Effects Animation,,,,,"CTAN 462, CTAN 452",
1163,CTAN 497,CTAN 497 L Generative Animation,,,,,CTAN 452,
1164,CTAN 502,CTAN 502L Experiments in Immersive Design,,CTAN 502,,,,
1165,CTAN 508,CTAN 508 L Live Action Integration with Visual Effects,,,,,CTAN 462,
1166,CTAN 564,CTAN 564 L Motion Capture Fundamentals,,,,,"CTAN 462, CTAN 452",
1167,CTAN 565,CTAN 565 L Motion Capture Performance,,,,,CTAN 564,
1168,ART 140,ART 140 Sculpture I,,FASC 106,,,,
1169,ART 260,ART 260 Video and Time-based Media,,FAIN 220,,,,
1170,ART 361,ART 361 Internet Studio and Online Experimentation,,FAIN 315,,,,
1171,CTIN 493,CTIN 493L Advanced Game Project II,,CTIN 491,,,,
1172,ART 142,ART 142 Modeling and Mold Making,,FASC 136,,,,
1173,ART 240,ART 240 Sculpture II,,FASC 206,,,"FASC 106, ART 140",
1174,ITP 415,ITP 415 3-D Design and Prototyping,,,,,ITP 215,"csr00875, udc00047"
1175,ITP 305,"ITP 305 Advanced 3D Modeling , Animation , and Special Effects",,,,,"ARCH 207, ITP 215",
1176,ITP 315,ITP 315 x 3D Character Animation,,,,,ITP 215,
1177,ITP 360,ITP 360 3D Compositing and Visual Effects,,,,,ITP 215,
1178,ITP 450,"ITP 450 Advanced 3D Texturing , Compositing , and Image Processing",,,,,ITP 360,
1179,ITP 480,ITP 480 Information Technology Internship,ACAD 480,,,,,
1180,BUAD 305,BUAD 305 Abridged Core Concepts of Accounting Information,,"BUAD 286, BUAD 285, BUAD 280, BUAD 281",,,,
1181,ACCT 415,ACCT 415x Intermediate Financial Accounting for Non-Accounting Majors,,"ACCT 412, ACCT 411",,,"BUAD 286, BUAD 305, BUAD 285, ACCT 410, BUAD 281","csr00964, csr02533, csr01893, csr00919, csr01036, csr00310, csr00881, csr01870"
1182,PR 340,PR 340 Introduction to Advertising,,JOUR 340,,,,"udc00201, udc00204, csr01859, csr02322, csr00841, csr01055"
1183,PR 341,PR 341 Advertising Copywriting,,JOUR 341,,,"PR 340, JOUR 340",udc00201
1184,PR 342,PR 342 Advertising Media and Analysis,,JOUR 342,,,"PR 340, JOUR 340",udc00201
1185,PR 343,PR 343 Advertising Design and Production,,JOUR 343,,,"PR 340, JOUR 340","udc00201, udc00204"
1186,MKT 406,MKT 406 Practicum in Advertising and Promotion Design,,,,,MKT 405,udc00201
1187,ITP 449,ITP 449x Data Mining : Descriptive and Predictive,,,,,ITP 350,"csr00107, csr01555, csr00026, csr00286, csr00133, csr00249, csr00024, csr00284"
1188,DSO 424,DSO 424 Business Forecasting,,DSO 424,,,BUAD 310,"udc00180, csr01821, csr01074"
1189,DSO 428,DSO 428 Essentials and Digital Frontiers of Big Data,,IOM 428,,,,csr02570
1190,ITP 489,ITP 489 In-Memory Database Systems for Real Time Analytics,,,,,"ITP 320, ITP 250","csr02075, csr00491"
1191,PR 478,PR 478 Social Media Analytics : Data and Content Creation for Real-time Public Relations,,JOUR 478,,,,"csr00103, csr02031, csr02097, csr02311"
1192,ITP 325,ITP 325 Ethical Hacking and Systems Defense,,,,,ITP 125,
1193,ITP 357,ITP 357 Enterprise Network Design,,,,,ITP 125,
1194,ITP 370,ITP 370 Information Security Management,,,,,ITP 125,"csr01016, csr00910, udc00097, csr01450, csr00907, csr02103, csr00543, csr01452, csr02033, csr02117"
1195,ITP 375,ITP 375 Digital Forensics,,,,,ITP 125,
1196,ITP 425,ITP 425 Web Application Security,ACAD 425,,,,"ITP 301, ITP 325, ACAD 275",
1197,ITP 457,Network Security,,,,,ITP 357,"udc00097, csr01011"
1198,ITP 475,ITP 475 Advanced Digital Forensics,,,,,ITP 375,
1199,THTR 468,Theatre in Education,,,,"THTR 201, EDUC 200",,
1200,ECON 404,Games and Economics,,,,,ECON 303,
1201,ECON 405,Neuroeconomics,,,,,ECON 303,
1202,ECON 415,Behavioral Economics,,,,,ECON 303,
1203,ECON 420,Experimental Economics,,,,,"ECON 317, ECON 303",
1204,ECON 432,Economics of Happiness,,,,,"ECON 305, ECON 303",
1205,FBE 324,The Financial System,,,,,"BUAD 350, BUAD 351, ECON 351, ECON 352, ECON 205, ECON 203","csr01036, csr00919, csr01078"
1206,FBE 416,Managerial Economics,,,,,"BUAD 351, ECON 351, BUAD 311, ECON 203","csr00952, csr00760, csr00941, csr02221"
1207,FBE 433,Corporate Governance and CEO Pay,,,,,"BUAD 306, BUAD 215",
1208,BUAD 315,BUAD 315x Basics of Project and Operations Management for Non-Majors,,BUAD 311,,,,
1209,DSO 401,DSO 401 Business Information Systems â€“ Spreadsheet Applications,,IOM 401,,,,
1210,DSO 402,DSO 402 Business Information Systems â€“ Database Applications,,IOM 402,,,,
1211,ART 130,ART 130 Ceramics,,FACE 112,,,,
1212,ART 230,ART 230 Wheel Throwing,,FACE 212,,,,
1213,ART 330,ART 330 Advanced Ceramics,,FACE 312,,,"ART 130, FACE 112",
1214,ART 331,ART 331 Clay and Glazes,,FACE 313,,"ART 230, ART 130",,
1215,ART 430,ART 430 Topics in Advanced Ceramics,,FACE 412,,,"FACE 312, ART 330",
1216,ART 434,ART 434 Sound Art,,ART 414,,"ART 130, FACE 112",,
1217,EALC 334,Chinese Language Through Films and Television,,,,,EALC 206,"csr02557, csr02558, csr02556"
1218,EALC 336,Chinese Language through Films and Television II,,,,,"EALC 334, EALC 304","csr02557, csr02558, csr02556"
1219,HP 345,HP 345 Health Issues in Entertainment Media,,CNTV 345,,,,
1220,CTPR 301,CTPR 301 Creating the Non-Fiction Film,,CTWR 301,,,,
1221,CORE 400,CORE 400 Capstone,,,,CORE 200,,"csr01562, csr01399, csr00010, csr00276, csr00311, csr00882, csr01871, csr01034, csr01099, csr02270"
1222,COMM 330,COMM 330 Rhetoric in Classical Culture,,,,COMM 311,,
1223,THTR 322,THTR 322 Improv 2 : Advanced Improv,,,,,"THTR 101, THTR 122",
1224,THTR 422,THTR 422 Improv 3 : Long Form Improvisation,,,,,"THTR 322, THTR 101, THTR 122, THTR 483, THTR 470",
1225,THTR 473,Sketch Comedy in Performance,,,,"THTR 101, THTR 122, THTR 470",,
1226,THTR 482,THTR 482 Stand Up 2 : Honing Your Act,,,,,THTR 474,
1227,CTPR 464,CTPR 464 Directing the Television Sketch Comedy Show,,,,"CTPR 371, CTPR 523, CTPR 476, CTPR 532, CTPR 484",,
1228,CTWR 324,CTWR 324 Introduction to Half-Hour Television Writing,,,,,"CTWR 413, CTWR 412, CTWR 404",
1229,ART 360,ART 360 Video Studio,,FAIN 320,,,"FAIN 220, ART 260",
1230,COMM 340,The Cultures of New Media,,,,COMM 339,,
1231,COMM 375,COMM 375 Business and Professional Communication,,,,COMM 204,,
1232,DES 313,DES 313 Graphic Design in Fashion,,FADN 313,,,"FADN 102, DES 102, DES 203","csr00855, csr01656, csr01674"
1233,DES 333,DES 333 New York Design Study Tour,,FADN 333,,,,
1234,COMM 421,Legal Communication,,,,,COMM 322,
1235,COMM 449,COMM 449 Perspectives on the Networked Press,,,,COMM 309,,
1236,COMM 486,Human and Technological Systems in Organizations,,,,COMM 385,,
1237,COMM 498,Ethical Issues in Entertainment and Communication,,,,,COMM 310,
1238,ITP 445,"Macintosh , OSX , and iOS Forensics",,,,,ITP 375,
1239,ITP 446,Cyber Breach Investigations,,,,,ITP 375,
1240,ITP 447,Mobile Device Security and Forensics,,,,,ITP 375,
1241,ITP 448,Cyber Litigation Support,,,,,ITP 375,
1242,ITP 365,ITP 365 Managing Data in C++,ACAD 365,,,,"ITP 109, ITP 165, ITP 115","csr00954, csr00056, csr02597, csr01574, csr01988, csr01988, csr00478"
1243,ITP 341,ITP 341 App Development for Phones and Tablets,,,,,"CSCI 104, ITP 365",
1244,ITP 342,ITP 342 Mobile Application Development,ACAD 342,,,,"CSCI 104, ITP 365",
1245,FBE 400,FBE 400x Introduction to Real Estate Finance and Development,,FBE 200,,,,
1246,CE 412,Construction Law and the Property Development Process,,,,CE 404,,
1247,PSYC 451,PSYC 451 Formation and Change of Attitudes,,,,,"PSYC 100, PSYC 355",
1248,PSYC 456,PSYC 456 Conservation Psychology,,,,PSYC 100,,
1249,DENT 412,DENT 412 Fundamentals of Craniofacial and Dental Technology,,BME 412,,,,
1250,ENGR 305,Engineering Biology Matters,,,,"CHEM 105, MASC 110",,
1251,COMM 395,"COMM 395m Gender , Media and Communication",SWMS 395,,,,,
1252,COMM 457,COMM 457 Youth and Media,,,,,COMM 300,
1253,JOUR 493,JOUR 493 Comics and Graphic Storytelling,COMM 493,,,,,
1254,IR 470,Comparative Regionalism,,,,,IR 210,
1255,HIST 464,"Culture , Money , and Power : Japanese-American Relations since 1853",,,,HIST 363,,
1256,POSC 354,Japanese Politics,,,,POSC 120,,
1257,DANC 170,DANC 170 Choreography and Performance,,"THTR 385, DANC 385",,,,
1258,DANC 175,DANC 175 Choreography for the Screen,,"THTR 482, DANC 482",,,,
1259,DANC 483,DANC 483 Dance Performance,,THTR 483,,,,
1260,DANC 183,DANC 183a Ballet,,THTR 183,,,,
1261,DANC 185,DANC 185a Hip Hop Dance,,"DANC 185, THTR 185",,,,
1262,ART 250,ART 250 Photography II,,FAPH 309,,,"FAPH 209, ART 150, ART 151, FAIN 210",udc00135
1263,ART 350,ART 350 Advanced Photography,,FAPH 309,,,"ART 250, FAPH 309",udc00135
1264,ART 460,ART 460 Post-Material Studio,,FAIN 440,,,,
1265,ART 315,ART 315 Studies in Drawing and Painting,,FADW 331,,"ART 310, ART 320",,
1266,ART 370,ART 370 Printmaking,,FAPR 311,,,,
1267,ART 410,ART 410 Topics in Advanced Drawing,,"FA 401, FADW 401",,,"ART 310, FADW 301",
1268,ART 470,ART 470 Topics in Advanced Printmaking,,FAPR 411,,,"FAPR 311, ART 370",
1269,ENGL 420,English Literature of the Middle Ages (1100â€“1500),,,,,ENGL 261,
1270,ENGL 421,English Literature of the 16th Century,,,,,ENGL 261,
1271,ENGL 422,English Literature of the 17th Century,,,,,ENGL 261,
1272,AHIS 430,AHIS 430 Studies in Renaissance Art,,"AHIS 446, AHIS 444",,"AHIS 230, AHIS 330",,
1273,AHIS 453,AHIS 453 Studies in Baroque Art,,,,"AHIS 230, AHIS 344",,
1274,ENGL 461,English Drama to 1800,,,ENGL 261,,,
1275,ENGL 465,The English Novel to 1800,,,ENGL 261,,,
1276,HIST 307,"HIST 307 Women in Medieval Europe , c . 1000â€“1500",SWMS 307,,,,,
1277,GEOL 351,GEOL 351 L Climate Systems,,,,,MATH 125,
1278,BAEP 454,Venture Initiation : Launching and Scaling Your Startup,,,,,BAEP 452,
1279,BISC 419,BISC 419 L Environmental Microbiology,,,,,"BISC 300, BISC 330",
1280,CE 443,CE 443 Environmental Chemistry,,,,,"CHEM 105, CHEM 115",
1281,LAW 404,Law and Psychology : Examining the Criminal Justice Process,,,,PSYC 100,,
1282,PSYC 363,PSYC 363 Criminal Behavior,,PSYC 463,,,PSYC 100,
1283,PSYC 365,PSYC 365 Introduction to Forensic Psychology,,PSYC 465,,,PSYC 100,
1284,PPD 340,PPD 340 The American System of Justice,,PPMT 340,,,,
1285,CTWR 405,CTWR 405 Storytelling for Virtual and Augmented Reality,,,,,"CTWR 505, CTWR 412, CTWR 513, CTWR 518, CTWR 413, CTAN 436, CTWR 100, CTAN 536","csr02074, csr00408, csr01907, udc00183, csr00716, csr00971, csr01921, csr00409, csr01908, udc00207"
1286,IML 490,IML 490x Directed Research,,,,,"IML 201, IML 104",csr01115
1287,MTEC 277,MTEC 277x Introduction to Music Technology,,MUIN 277,,,,"csr01500, csr00992, csr00996, csr00227"
1288,CTIN 444,Audio Expression,,,,CTIN 406,,
1289,MUCO 221,MUCO 221a x Composition for Non-Majors,,,,,"MUCO 130, MUCO 133, MUCO 221",
1290,CTIN 497,CTIN 497 Interactive Media Startup,,CTIN 497,,,,
1291,BISC 483,BISC 483 Geobiology and Astrobiology,,,,,"CHEM 105, BISC 120",
1292,BISC 474,BISC 474L Ecosystem Function and Earth Systems,,,,,"BISC 120, BISC 121",
1293,GEOL 460,GEOL 460 L Geochemistry,,,,,"CHEM 105, CHEM 115, MATH 126",
1294,GEOL 316,GEOL 316 L Petrologic Systems,,,,,GEOL 315,
1295,GEOL 321,GEOL 321 L Structural Geology and Tectonics,,,,GEOL 320,,
1296,GEOL 440,GEOL 440 L Geophysics and Geoengineering,,,"PHYS 152, PHYS 135",,MATH 126,
1297,GERM 201,"German III , Conversation and Composition",,,,,GERM 102,
1298,GERM 221,Conversational German IV,,,,,GERM 201,
1299,GERM 310,Business German I,,,,,GERM 201,
1300,GERM 311,Business German II,,,,,GERM 201,
1301,GERM 320,Composition and Conversation on Contemporary Affairs,,,,,GERM 221,
1302,GERM 325,Composition and Conversation in Cultural History,,,,,GERM 221,
1303,MDA 110,MDA 110 Contemporary Issues and Cases in Health Care,,MDA 100,,,,
1304,MEDS 260,Challenges in the Forefront of Biomedical Ethics,,,,"MDA 110, MEDS 220",,
1305,MEDS 320,Human Cadaveric Anatomy,,,,,"BISC 221, BISC 220",
1306,MEDS 335,Human Development : From Stem to Sternum,,,,,"BISC 221, BISC 220, BISC 320",
1307,MEDS 340,The Brain in Health and Disease,,,,,"MEDS 310, CHEM 115, BISC 221, BISC 220, CHEM 105, CHEM 103",
1308,MEDS 350,"MEDS 350 Neurochemistry of Addiction : Drugs , Brain , and Behavior",,,,,"BISC 320, MEDS 330, CHEM 115, BISC 330, BISC 221, BISC 220, CHEM 105, CHEM 103",
1309,MEDS 360,From Bench to Bedside : New Frontiers in Biomedical Research,,,,,"BISC 320, CHEM 115, BISC 330, BISC 221, BISC 220, CHEM 105, CHEM 103",
1310,MEDS 370,Organ Failure : Non-Communicable Chronic Disease,,,,,"EXSC 301, MEDS 220, MEDS 320, CHEM 115, BISC 221, BISC 220, CHEM 105, CHEM 103",
1311,MEDS 380,Stem Cells : Fact and Fiction,,,,,"BISC 221, BISC 220",
1312,MEDS 420,MEDS 420 Clinical Pediatrics,,,,,"BISC 221, BISC 220, MEDS 220",
1313,MEDS 425,MEDS 425 Medical Examiner-Coroner : Investigating Death,,,,,"BISC 221, BISC 220, MEDS 220",
1314,MEDS 440,MEDS 440 Introduction to Surgical Principles,,,,,"MEDS 220, CHEM 115, BISC 221, BISC 220, CHEM 105, CHEM 103",
1315,MEDS 445,MEDS 445 Cancer : Introduction to Oncology in the Modern Era,,,,,"BISC 221, BISC 220, MEDS 220",
1316,MEDS 450,OB/GYN : The Medicine and Surgery of Reproduction,,,,,"BISC 221, BISC 220, MEDS 220",
1317,MEDS 460,Emergency Health Care,,,,,"BISC 221, BISC 220, MEDS 220, MEDS 260",
1318,MEDS 465,Wilderness and Survival Medicine,,,,,"BISC 221, BISC 220, MEDS 220",
1319,MEDS 490,MEDS 490x Directed Research in Biomedical Science,,,,,"MEDS 360, CHEM 115, MEDS 300, BISC 221, BISC 220, CHEM 105, CHEM 103",
1320,COMM 315,Health Communication,,,,COMM 301,,
1321,ECON 348,ECON 348g Current Problems of the American Economy,,,,,"ECON 205, ECON 203",
1322,SSCI 401,SSCI 401L Geospatial Intelligence,,,,"SSCI 301, IR 381",,"khn00631, khn00641, khn00651, khn00661, khn00671, khn00681, khn00691, khn00701, csr00898, csr01320"
1323,MS 401,MS 401 Leadership and Management I,,MS 400,,,,"csr01877, csr02342, csr01839, csr02209"
1324,MS 402,MS 402 Leadership and Management II,,MS 410,,,,"csr01877, csr02342, csr02209, csr01831, csr01839, csr01891"
1325,CSCI 425,Immersive Game Development,,,,,CSCI 423,"csr00868, csr02233, csr00872, csr02237, csr01990, csr01990, csr01963, csr01963, csr02250"
1326,CTAN 504,CTAN 504L Creative Production in Virtual Reality,,,,,CTAN 502,"csr00408, csr01907, udc00183, csr00409, csr01908, csr01921, udc00207"
1327,CTIN 479,Documentary and Activist Games,,,,"CTIN 488, CTIN 190, CTIN 541",,
1328,IML 543,IML 543 Transdisciplinary Media Design Practicum,,,,"CTIN 503, CTIN 541",,
1329,ITP 496,ITP 496 The Startup Launchpad Lab,,,BAEP 496,,"BAEP 452, ITP 476, ITP 466",
1330,BAEP 496,BAEP 496 The Digital Startup Launchpad,,,ITP 496,,"BAEP 452, ITP 476, ITP 466",
1331,PHIL 166,PHIL 166gw Current Moral and Social Issues,,PHIL 140,,,,
1332,PHIL 172,PHIL 172gmw Social Ethics for Earthlings and Others,,PHIL 137,,,,
1333,PPD 476,PPD 476 Politics and Administration,,PPMT 486,,,,
1334,PPD 482,PPD 482 Comparative Public Administration,,PPMT 482,,,,
1335,PPD 411,PPD 411a Sacramento Semester,,PPMT 411,,,,
1336,MUJZ 301,MUJZ 301 Individual Instruction,,"MUJZ 401, MUJZ 201",,,,
1337,MUJZ 450,MUJZ 450 Intermediate Jazz Improvisation,,,,MUJZ 150,,
1338,COMM 392,COMM 392 Media and Migration in Times of European Crisis,"JOUR 392, PR 392",,,,,
1339,PR 455,PR 455 Public Relations for Non-Profit Organizations,,JOUR 455,,,,csr01114
1340,JOUR 460,JOUR 460 Social Responsibility of the News Media,COMM 464,,,,,"csr00729, csr01753, csr02097, csr02311, udc00200, csr01778"
1341,EALC 429,Gender in Korean Film and Literature,,,,"HIST 105, EALC 332",,
1342,HIST 498,HIST 498 Seminar on Selected Historical Topics,,,,HIST 201,,
1343,ARCH 547,Urban Nature,,,,ARCH 531,,
1344,ARCH 565,ARCH 565 Global History of Landscape Architecture,,ARCH 465,ARCH 414,,,
1345,HIST 302,HIST 302 From Sappho to Stonewall : Lesbians in History,SWMS 302,,,,,
1346,PORT 316,PORT 316 Portuguese for Business and the Professions,,,,,"PORT 300, PORT 240",
1347,ECON 471,Economics of Labor Markets and Human Capital,,,,,ECON 303,
1348,BISC 431,BISC 431L Aquatic Microbiology,,BISC 419,,,"BISC 221, BISC 220",
1349,BISC 457,BISC 457L Methods in Marine Biology and Biological Oceanography,,,,,"BISC 103, BISC 120, BISC 121",
1350,ENST 298,ENST 298aL Introduction to Scientific Diving,ARCG 298,ENST 298,,,,
1351,BISC 437,BISC 437 L Comparative Physiology of Animals,,,,,"BISC 313, BISC 325, BISC 320, BISC 330, BISC 221, BISC 220, BISC 120, BISC 121",
1352,BISC 485,Advanced Seminar in Bacterial Survival and Evolution,,,,,"CHEM 322, CHEM 325, BISC 320, BISC 221, BISC 220, BISC 120, BISC 121",
1353,BISC 499,BISC 499 Special Topics,,,,"BISC 221, BISC 220, BISC 330, BISC 320, BISC 325",,
1354,BUAD 351,Economic Analysis for Business Decisions,,,,,"ECON 205, MATH 118, MATH 125, ECON 203",
1355,ECON 357,"Money , Credit , and Banking",,,,,"ECON 205, ECON 203",
1356,ECON 457,Financial Markets,,,,,ECON 303,"csr01078, csr00711, csr01092, csr01715, csr01091, csr01082, csr01854, csr01826"
1357,CTWR 402,CTWR 402 Writing and Social Change,,CTWR 412,,,,"csr00853, csr01505"
1358,PR 473,PR 473 Emerging Media Strategies for Communication and Public Relations,,JOUR 473,,,,"csr01126, csr01117"
1359,PR 491,"PR 491 Transmedia , New Media and Strategic Public Relations",,JOUR 491,,,,"csr01114, csr01118"
1360,ITP 442,ITP 442 Mobile App Project,ACAD 442,,,,ITP 140,"udc00091, csr02258, csr02259, csr01938"
1361,ITP 344,ITP 344 Advanced Topics in Mobile App Development,ACAD 344,,,,ITP 342,"udc00035, csr02025, csr00618, csr02415, csr01289"
1362,ITP 382,ITP 382 Mobile Game Programming,ACAD 382,,,,"CSCI 104, ITP 365","csr00554, csr00868, csr02233"
1363,MUIN 272,MUIN 272x Basics of the Music Industry,,MUIN 372,,,,
1364,MTEC 378,MTEC 378 Introduction to Mixing and Mastering,,,,,MTEC 446,
1365,SCOR 403,SCOR 403 Introduction to Scoring Movies and Television,,,,,"MTEC 445, MUCO 133, MTEC 443",
1366,SCOR 405,SCOR 405 Introduction to Scoring Video Games,,MUCO 445,,,"MTEC 445, MUCO 133, MTEC 443",csr01713
1367,MPVA 412,MPVA 412 Musical Theatre Workshop II,,,,,MPVA 402,
1368,EE 337,EE 337L Engineering Nano-Systems,,EE 238,,,PHYS 152,
1369,DSO 482,DSO 482 Supply Chain Management,,IOM 482,,,BUAD 311,"csr00320, csr00660, csr00318, csr00319, csr00316, csr01892, csr00317, csr00458"
1370,DSO 483,DSO 483 Operations Consulting,,IOM 483,,,BUAD 311,"csr01888, csr00465"
1371,DSO 427,DSO 427 Designing Spreadsheet-Based Business Models,,IOM 427,,BUAD 310,,
1372,ART 220,ART 220 Painting II,,FAPT 205,,,"FAPT 105, ART 120",
1373,ART 320,ART 320 Advanced Painting,,FAPT 305,,,"ART 220, FAPT 205",
1374,ART 420,ART 420 Topics in Advanced Painting,,FAPT 405,,,"FAPT 305, ART 320",
1375,PSYC 499,PSYC 499 Special Topics,,,,,PSYC 100,
1376,THTR 201,THTR 201 Introduction to the Theatre,,THTR 100,,,,
1377,PTE 462,"PTE 462 Economic , Risk and Formation Productivity Analysis",,,,,PTE 461,
1378,ART 150,ART 150 Introduction to Photography,,FAPH 209,,,,udc00135
1379,ART 450,ART 450 Topics in Advanced Photography,,FAPH 409,,,"FAPH 309, ART 350",
1380,PR 352,PR 352 Public Relations Media and Content for Non-Majors,,,,,"PR 250, PR 209","csr01114, csr01126"
1381,CTAN 423,CTAN 423L Principles of Digital Animation : Visualizing Science,,CTAN 523,,,,
1382,GERO 496,Introduction to Clinical Geriatrics,,,,,"BISC 221, BISC 220",
1383,ART 242,ART 242 Metal,,FASC 236,,ART 140,,
1384,ART 243,ART 243 Construction Techniques,,FASC 246,,ART 140,,csr00322
1385,ART 340,ART 340 Advanced Sculpture,,FASC 306,,,"FASC 206, ART 240",
1386,ART 440,ART 440 Topics in Advanced Sculpture,,FASC 406,,,"FASC 306, ART 340",
1387,JOUR 380,"JOUR 380 Sports , Business and Media in Today's Society",COMM 382,,,,,
1388,JOUR 441,JOUR 441 Sports Reporting,,,,,"JOUR 303, JOUR 302, JOUR 307",
1389,PR 453,PR 453 Public Relations Strategies for Working with Athletes,,ASCJ 420,,,,csr01114
1390,PR 454,PR 454 Sports Public Relations,,JOUR 454,,,,"csr01114, csr01118, csr01115"
1391,MOR 479,The Business of Sports,,,,BUAD 304,,"csr01830, csr01045, csr02445"
1392,ENGR 509,Patent Law for Scientists and Engineers,,,,"EE 682, ISE 565",,
1393,ENGR 493,ENGR 493x Dean's Seminar in Entrepreneurship,,BUAD 493,,,,
1394,ENGL 373,ENGL 373g Literature and Society,,ENGL 473,,,,
1395,ENGL 374,"ENGL 374m Literature , Nationality and Otherness",,ENGL 474,,,,
1396,ENGL 372,ENGL 372 Literature and Related Arts,,ENGL 472,,,,
1397,ENGL 379,ENGL 379 History of Literary Criticism,,ENGL 479,,,,
1398,ENGL 380,ENGL 380 Modern Literary Criticism : Theory and Practice,,ENGL 480,,,,
1399,CTIN 452,CTIN 452 L Themed Entertainment Design,,,,,"CTIN 488, CTIN 489, CTIN 532, CTIN 541",
1400,PPD 438,PPD 438 Local Economic Development,,PLDV 447,,,,
1401,COMM 473,COMM 473 Advanced Issues in Communication and Technology,,,,,COMM 301,
1402,CSCI 534,CSCI 534 Affective Computing,PSYC 532,,,CSCI 561,,
1403,MDA 423,MDA 423 User Experience,PSYC 423,,,,,"csr00864, csr00887, csr00874"
1404,ITP 391,ITP 391a Video Game Project Management,,,,,"ITP 280, ITP 230","csr00965, csr02534, csr00300, csr01498"
1405,ITP 393,ITP 393 Video Game Design Documents,,,,,"ITP 280, ITP 230","csr00872, csr02237, csr01963, csr01963, csr00869, csr02234"
1406,ITP 491,ITP 491 Level Design and Development for Video Games,,,,,"ITP 280, ITP 230","csr01713, csr01691, csr02212, csr01995, csr01995"
1407,CTIN 478,CTIN 478 Level Design Workshop,,,,,"CTIN 488, CTIN 483, CTIN 541",
1408,ITP 484,ITP 484 Multiplayer Game Programming,,,,,ITP 380,
