link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1257,DANC 170,,"THTR 385, DANC 385",,,,
1258,DANC 175,,"THTR 482, DANC 482",,,,
1259,DANC 483,,THTR 483,,,,
1260,DANC 183,,THTR 183,,,,
1261,DANC 185,,"DANC 185, THTR 185",,,,
1262,ART 250,,FAPH 309,,,"FAPH 209, ART 150, ART 151, FAIN 210",udc00135
1263,ART 350,,FAPH 309,,,"ART 250, FAPH 309",udc00135
1264,ART 460,,FAIN 440,,,,
1265,ART 315,,FADW 331,,"ART 310, ART 320",,
1266,ART 370,,FAPR 311,,,,
1267,ART 410,,"FA 401, FADW 401",,,"ART 310, FADW 301",
1268,ART 470,,FAPR 411,,,"FAPR 311, ART 370",
1269,ENGL 420,,,,,ENGL 261,
1270,ENGL 421,,,,,ENGL 261,
1271,ENGL 422,,,,,ENGL 261,
1272,AHIS 430,,"AHIS 446, AHIS 444",,"AHIS 230, AHIS 330",,
1273,AHIS 453,,,,"AHIS 230, AHIS 344",,
1274,ENGL 461,,,ENGL 261,,,
1275,ENGL 465,,,ENGL 261,,,
1276,HIST 307,SWMS 307,,,,,
1277,GEOL 351,,,,,MATH 125,
1278,BAEP 454,,,,,BAEP 452,
1279,BISC 419,,,,,"BISC 300, BISC 330",
1280,CE 443,,,,,"CHEM 105, CHEM 115",
1281,LAW 404,,,,PSYC 100,,
1282,PSYC 363,,PSYC 463,,,PSYC 100,
1283,PSYC 365,,PSYC 465,,,PSYC 100,
1284,PPD 340,,PPMT 340,,,,
1285,CTWR 405,,,,,"CTWR 505, CTWR 412, CTWR 513, CTWR 518, CTWR 413, CTAN 436, CTWR 100, CTAN 536","csr02074, csr00408, csr01907, udc00183, csr00716, csr00971, csr01921, csr00409, csr01908, udc00207"
1286,IML 490,,,,,"IML 201, IML 104",csr01115
1287,MTEC 277,,MUIN 277,,,,"csr01500, csr00992, csr00996, csr00227"
1288,CTIN 444,,,,CTIN 406,,
1289,MUCO 221,,,,,"MUCO 130, MUCO 133, MUCO 221",
1290,CTIN 497,,CTIN 497,,,,
1291,BISC 483,,,,,"CHEM 105, BISC 120",
1292,BISC 474,,,,,"BISC 120, BISC 121",
1293,GEOL 460,,,,,"CHEM 105, CHEM 115, MATH 126",
1294,GEOL 316,,,,,GEOL 315,
1295,GEOL 321,,,,GEOL 320,,
1296,GEOL 440,,,"PHYS 152, PHYS 135",,MATH 126,
1297,GERM 201,,,,,GERM 102,
1298,GERM 221,,,,,GERM 201,
1299,GERM 310,,,,,GERM 201,
1300,GERM 311,,,,,GERM 201,
1301,GERM 320,,,,,GERM 221,
1302,GERM 325,,,,,GERM 221,
1303,MDA 110,,MDA 100,,,,
1304,MEDS 260,,,,"MDA 110, MEDS 220",,
1305,MEDS 320,,,,,"BISC 221, BISC 220",
1306,MEDS 335,,,,,"BISC 221, BISC 220, BISC 320",
1307,MEDS 340,,,,,"MEDS 310, CHEM 115, BISC 221, BISC 220, CHEM 105, CHEM 103",
1308,MEDS 350,,,,,"BISC 320, MEDS 330, CHEM 115, BISC 330, BISC 221, BISC 220, CHEM 105, CHEM 103",
1309,MEDS 360,,,,,"BISC 320, CHEM 115, BISC 330, BISC 221, BISC 220, CHEM 105, CHEM 103",
1310,MEDS 370,,,,,"EXSC 301, MEDS 220, MEDS 320, CHEM 115, BISC 221, BISC 220, CHEM 105, CHEM 103",
1311,MEDS 380,,,,,"BISC 221, BISC 220",
1312,MEDS 420,,,,,"BISC 221, BISC 220, MEDS 220",
1313,MEDS 425,,,,,"BISC 221, BISC 220, MEDS 220",
