link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
615,EE 355,,CSCI 355,,,EE 155,
616,EE 422,,,,,EE 330,
617,EE 423,,,,,"PHYS 152, AME 302, EE 330, EE 301",
618,EE 434,,,,,EE 483,csr01145
619,EE 447,,,,,EE 348,
620,EE 484,,,,,"EE 475, EE 364, EE 467",
621,ENE 410,,"CE 309, AME 309",,,MATH 245,
622,CE 484,,,,,CE 451,
623,ENST 335,,,,,"BISC 103, BISC 120",
624,POSC 270,,POSC 347,,,ENST 100,
625,ENST 344,,,,,"ENST 100, ENST 150","csr00123, csr00246"
626,ENST 442,,,,,"POSC 270, ENST 320",
627,ENST 445,,,,,"MATH 118, MATH 125, ENST 320",
628,ENST 480,,,ENST 298,,,
629,GEOL 470,,,,"GEOL 160, GEOL 105",,
630,BISC 427,,,,,"CHEM 105, CHEM 115, BISC 120, BISC 121",
631,GEOL 425,,,,MATH 126,,
632,GEOL 450,,,,,"MATH 125, MATH 126",
633,PPD 382,,PLDV 405,,,,
634,BISC 352,,,,"BISC 103, BISC 120, BISC 121",,
635,ENST 310,,,,,ENST 100,
636,ENST 370,,,,"ENST 387, ENST 100",,
637,BISC 315,,,,,"BISC 120, BISC 121",
638,BISC 447,,,,,"BISC 120, BISC 121",
639,BISC 469,,,,,"BISC 103, BISC 120, BISC 121",
640,MOR 466,,ENST 450,,,,
641,FREN 250,,,,,FREN 220,
642,FREN 300,,,,,FREN 250,
643,FREN 330,,,,,FREN 300,
644,FREN 310,,,,,FREN 250,
645,FREN 347,,,FREN 330,,,
646,FREN 351,,,FREN 330,,,
647,FREN 360,,,,FREN 330,,
648,FREN 382,,,FREN 330,,FREN 330,
649,FREN 383,,,FREN 330,,,
650,FREN 392,,,FREN 330,,,
651,FREN 401,,,,,FREN 330,
652,FREN 402,,,,,FREN 330,
653,FREN 403,,,,,FREN 330,
654,FREN 404,,,,,FREN 330,
655,FREN 410,,,,FREN 330,,
656,FREN 432,,,,,FREN 330,
657,FREN 445,,,,,FREN 330,
658,FREN 446,,,,,FREN 330,
659,FREN 448,,,,,"REL 137, FREN 330",
660,FREN 449,,,,FREN 300,,
661,FREN 464,,,,,FREN 330,
662,FREN 499,,,,,FREN 330,
663,SWMS 210,"POSC 210, PSYC 210",,,,,
664,MATH 114,,,,MATH 040,,"udc00167, udc00121, csr00849, csr01568"
665,ARCH 303,,,,,ARCH 203,"csr00861, csr00884, csr02017"
666,ARCH 403,,,,,ARCH 303,
667,RED 417,,PPD 417,,,"PPD 227, PPD 245",
668,RED 425,,PPD 425,,,"PPD 227, PPD 245",
669,SSCI 412,,,,,"SSCI 483, SOCI 314, PPD 425, ARCH 403",csr01336
670,ARCH 447,,ARCH 361,,,,
671,PPD 361,,PPD 461,,,,"csr00672, csr00770"
672,PPD 360,,PLDV 480,,,,
673,PPD 306,,PLDV 410,,,,
674,GEOL 387,,GEOL 385,,,,
675,GEOL 465,,,,"GEOL 315, GEOL 316, GEOL 320, GEOL 105",,
676,HP 320,,,,,"BISC 221, BISC 220",
677,HP 470,,,,,HP 270,
678,HP 350,,,,HP 340,,"csr00848, csr01567, csr01059, csr01662, csr01736, csr01115"
679,HP 490,,,,"HP 340, HP 350",,csr01115
680,HP 300,,,,,"PSYC 100, HP 200",
681,HP 365,,HP 400,,,,
682,HP 401,,,,ANTH 101,,
683,HP 402,,,,PSYC 100,,
684,HP 403,,,,,PSYC 100,
685,HP 410,,,,HP 300,,
686,HP 411,,,,HP 410,,
687,HP 430,,,,HP 230,,
688,HP 431,,,,HP 430,,
689,HP 432,,,,,"HP 230, CHEM 105",
690,HP 433,,,,,HP 432,
691,HP 434,,,,HP 200,,
692,HP 440,,,,"PSYC 100, HP 200",,
693,HP 442,,,,HP 320,,
694,SOCI 460,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
695,SOCI 470,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
696,ANTH 325,,,,ANTH 205,,
697,ANTH 415,,,,"ANTH 325, ANTH 205",,
698,HIST 180,MDES 180,,,,,
699,PSYC 367,,,,,PSYC 100,
700,PSYC 361,,,,,PSYC 100,
701,SOCI 360,,,,,"SOCI 200, SOCI 314",
702,GERO 320,,,,PSYC 100,,
703,HBIO 301,,EXSC 301,,,,
704,HBIO 302,,EXSC 200,,,"BISC 221, BISC 220",
705,BISC 450,,,,,"BISC 221, BISC 220",
706,BISC 307,,,,,"BISC 221, BISC 220",
707,HBIO 420,,EXSC 405,,,BISC 220,
708,SOCI 450,,,,,"SOCI 314, SOCI 313, SOCI 250",
709,BISC 312,,,,"BISC 221, BISC 220",,
710,BISC 406,,,,,"BISC 325, BISC 320, BISC 313","csr01655, csr02317"
711,PSYC 337,,,,,PSYC 100,
712,PSYC 355,,,,,PSYC 100,udc00164
713,SOCI 305,,,,,"SOCI 200, SOCI 370, SOCI 270",
714,SOCI 369,SWMS 369,,,,SOCI 200,
715,SSCI 340,,MDA 350,,,,
716,POSC 333,,POSC 233,,,,
717,PSYC 404,,,,,"PSYC 274, PSYC 100, PSYC 314",
718,BISC 290,,,,,"CHEM 115, BISC 221, BISC 220, CHEM 105, BISC 120, BISC 121",
719,PPD 325,,PPD 230,,,,csr01392
720,PPD 330,,PPMT 330,,,,
721,PSYC 437,,,,,PSYC 100,
722,SOCI 350,,,,,SOCI 200,
723,HIST 201,,HIST 300,,,,
724,HIST 383,,HIST 280,,,,
725,HBIO 350,,EXSC 350,,,"BISC 312, HBIO 302, CHEM 350, BISC 330",
726,HBIO 360,,,,,"BISC 221, BISC 220",
727,HBIO 407,,EXSC 406,,,HBIO 302,
728,HBIO 408,,EXSC 408,,,"MATH 108, PHYS 135",
729,BISC 313,,,,,"BISC 325, BISC 320, BISC 221, BISC 220, BISC 120, BISC 121",
730,HBIO 202,,EXSC 202,,,,
731,HBIO 250,,EXSC 250,,,,
732,HBIO 320,,EXSC 300,,,BISC 220,
733,HBIO 400,,EXSC 400,,,HBIO 320,
734,HBIO 401,,EXSC 401,,,BISC 220,
735,HBIO 441,,EXSC 441,,,HBIO 301,
736,BISC 423,NEUR 423,,,,BISC 421,
737,HBIO 409,,EXSC 409,,,BISC 220,
738,HBIO 435,,,,,"BISC 220, HBIO 302",
739,HBIO 439,,EXSC 439,,,HBIO 408,
740,HBIO 442,,EXSC 442,,,HBIO 301,
741,GERO 440,,,,,"BISC 113, BISC 112, BISC 120, BISC 121",
742,GERO 414,,,,,"BISC 221, BISC 220",
743,BISC 480,,,,,"BISC 221, BISC 220",
744,HBIO 205,,EXSC 205,,,,
745,ISE 220,,,,,MATH 126,"khn00877, khn00897, khn00927, khn00937, khn00947, khn00881, khn00901, khn00911, khn00871, khn00891"
746,ISE 225,,,,,ISE 220,"udc00167, csr01562"
747,ISE 315,,,,,"ISE 330, ISE 225","csr01638, csr00965, csr02534, csr00300, csr01498, csr01619, csr01620"
748,ISE 330,,,,,MATH 225,
749,ISE 331,,,,,"ISE 220, ISE 330",
750,ISE 410,,,,,ISE 330,"csr00313, csr00502"
751,ISE 435,,,,,"CSCI 101, ISE 225",
752,ISE 495,,,,,"ISE 460, DSO 435, ISE 382, ISE 225",
753,DSO 435,,IOM 435,,,,
754,ISE 335,,,,,"ISE 460, ISE 330","csr00660, csr00320, csr00318, csr00319, csr00316, csr00317, csr00458"
755,ISE 375,,,,,"ISE 460, ISE 331",
756,ISE 426,,,,,ISE 225,
757,ISE 232,,,,"CHEM 105, CHEM 115, MASC 110",,csr01131
758,ISE 327,,,,,ISE 225,"csr00134, csr01508, csr02450"
759,ISE 350,,,,,ISE 225,csr01634
760,ITP 482,,,,,"DSO 435, ISE 382, CSCI 101",
761,ITP 487,,,,,"ITP 320, ITP 250","csr00137, csr01376, csr00069, csr01363"
762,INF 250,,,,ITP 115,,"csr02570, csr00027, csr01312, csr01531, udc00182, csr00351, csr02503, csr00122, csr00335, udc00133"
763,ITP 421,,,,,ITP 320,
764,ITP 422,,ITP 322,,,"ISE 583, ITP 320",
765,ITP 454,,,,,ITP 320,
766,ITP 486,,,,,ITP 320,"csr01167, csr01979, csr01979, csr02107"
767,ITP 488,,,,,ITP 320,
768,ITP 300,ACAD 300,,,,ITP 301,csr00632
769,ITP 301,,,,,ITP 104,csr00632
770,ITP 302,,,,,ITP 104,
771,ITP 310,ACAD 311,,,,,"csr00874, csr00864, csr00887"
772,ITP 404,ACAD 404,,,,"ITP 301, ACAD 275",csr00632
773,ITP 460,ACAD 460,,,,,
774,INF 351,,,,,"INF 250, ITP 115","csr01917, udc00004, csr00028, csr01313, csr01532, csr00131, csr02397"
775,INF 352,,,,,"MATH 208, INF 250","csr00035, csr01745, csr02157, csr00172, csr02028, csr00109, csr00959, csr00030, csr01315, csr01534"
776,INF 454,,,,,INF 250,"csr01341, csr01959, csr01959, udc00182, udc00106, csr00874, csr00091, csr00021, csr00281, udc00193"
777,CTIN 101,,CTIN 400,,,,
778,CTAN 443,,,,,CTAN 452,"csr01692, csr02213, csr01927"
779,CTIN 403,,,,,"CTIN 401, CTAN 443",
780,CTIN 485,,,,,"CTIN 488, CTIN 489, CTIN 483, CTIN 484","csr00872, csr02237, csr01963, csr01963, csr01297, csr02036, csr00868, csr02233, csr00871, csr02236"
781,IML 346,,,,,"IML 201, IML 104","csr01736, csr00848, csr01567"
782,CTIN 462,,,,CTIN 488,,
783,CTWR 410,,,,CTIN 488,,"csr01692, csr01927, csr02213"
784,CTIN 459,,,,,"CTIN 488, CTIN 489",
785,CTIN 491,,CTIN 491,,,"ART 442, CTIN 404, CTAN 452, CTIN 406, CTIN 484, FASC 436",csr02143
786,IR 403,,,,IR 303,,
787,SOCI 435,SWMS 435,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
788,SOCI 445,,,,,SOCI 250,
789,IR 428,,,,IR 210,,
790,ECON 338,,ECON 121,,,ECON 205,
791,ECON 450,,,,,ECON 303,
792,ECON 452,,,,,ECON 305,
793,SPAN 350,,"SPAN 450, SPAN 377",,"SPAN 308, SPAN 306, SPAN 304",,
794,ECON 342,,,,,"ECON 205, ECON 203, ECON 303",
795,ECON 343,,,,,"ECON 205, ECON 203",
796,ECON 317,,,,,"MATH 118, MATH 125",
797,BUAD 215,,BUAD 306,,,"BUAD 305, BUAD 285, BUAD 280, ACCT 410","csr00964, csr02533, csr01338"
798,FBE 431,,,,,"BUAD 306, BUAD 215",
799,FBE 432,,,,,"BUAD 306, BUAD 215","csr02208, csr01864, csr01038"
800,FBE 436,,,,,"BUAD 306, BUAD 215",
801,FBE 440,,,,,"BUAD 306, BUAD 215",
802,FBE 443,,,,,"BUAD 306, BUAD 310, BUAD 215",
803,FBE 445,,,,,"BUAD 350, BUAD 351, ECON 351, ECON 352",
804,FBE 460,,,,,"BUAD 306, BUAD 215",
805,FBE 462,,,,,"ECON 205, ECON 352, ECON 351, ECON 203",
806,MKT 402,,MKT 470,,,"MKT 385, PSYC 274, COMM 301, BUAD 307, BUAD 310, MATH 116",
807,MKT 405,,,,,"BUAD 307, COMM 302, COMM 200, PR 340, MKT 385",udc00201
808,MKT 410,,,,,"BUAD 307, MKT 385",
809,MKT 440,,,,,"BUAD 307, MKT 385","csr01085, csr01850, csr01051"
810,MKT 445,,,,,"BUAD 307, MKT 385","csr02307, csr01861"
811,MOR 462,,,,BUAD 304,,
812,MOR 463,,,,BUAD 304,,csr00786
813,MOR 467,ACAD 467,,,,,"csr02137, csr02092, csr00705, csr01413, csr02125, csr02209"
814,MOR 470,,,,BUAD 304,,
815,MOR 471,,,,BUAD 304,,
816,MOR 473,,,,BUAD 304,,
817,ECON 350,,,,,"ECON 205, ECON 203",
818,ECON 305,,,,,"ECON 205, MATH 118, MATH 125, ECON 203",
819,ECON 340,,,,,"ECON 205, ECON 203",
820,ECON 344,,,,,"ECON 205, ECON 203",
821,ECON 346,,,,,"ECON 205, ECON 203",
822,ITAL 150,,,,,ITAL 120,
823,ITAL 220,,,,,ITAL 150,
824,ITAL 224,,,,,ITAL 220,
825,ITAL 320,,,,,ITAL 224,
826,ITAL 360,,ITAL 446,,,,
827,ITAL 380,,,,ITAL 320,,
828,ITAL 381,,ITAL 462,,,,
829,ITAL 382,COLT 449,ITAL 450,,,,
830,ITAL 401,,,,,ITAL 320,
831,ITAL 402,,,,,ITAL 320,
832,ITAL 403,,,,,ITAL 320,
833,ITAL 440,,,,ITAL 320,,
834,ITAL 461,,,,,ITAL 320,
835,ITAL 499,,,,,ITAL 224,
836,MUJZ 353,,PLDV 410,,,,
837,MUEN 326,,"MUEN 226, MUEN 426",,,,
838,MUEN 329,,"MUEN 429, MUEN 229",,,,
839,MUEN 332,,"MUEN 432, MUEN 232",,,,
840,MUJZ 305,,,,,MUCO 133,
841,MUJZ 400,,MUCO 400,,,,
842,MUJZ 443,,MUED 443,,,,
843,MTEC 443,,MUIN 305,,MTEC 245,,"csr00992, csr01517, csr01500, csr01502"
844,MTEC 444,,,,MTEC 245,,
845,MTEC 445,,,,"MTEC 444, MTEC 443, MTEC 474",,"csr01500, csr01517"
846,MTEC 446,,MUIN 446,,,,
847,MUJZ 350,,,,MUHL 250,,
848,MPPM 350,,,,MUHL 250,,
849,MUSC 102,,MUHL 302,,,,
850,MUSC 115,,MUHL 315,,,,
851,MUSC 200,,MUSC 400,,,,
852,MUSC 210,,MUSC 410,,,,
853,MUSC 250,,MUSC 450,,,,
854,REL 401,,REL 399,,REL 301,,
855,HEBR 315,,,,,HEBR 220,
856,HIST 305,,HIST 270,,,,
857,JS 315,"REL 310, HIST 322",,,,,
858,JS 340,,,,JS 100,,
859,JOUR 307,,,,,"JOUR 321, JOUR 207",
860,JOUR 320,,,,,"JOUR 321, JOUR 207",
861,JOUR 322,,,,,"JOUR 320, JOUR 307","csr00732, csr01756"
862,JOUR 323,,,,,"JOUR 320, JOUR 322, JOUR 307",
863,JOUR 372,,ASCJ 440,,,JOUR 307,
864,JOUR 408,,,,,"JOUR 320, JOUR 208, JOUR 307",
865,JOUR 414,,,,,"JOUR 320, JOUR 322, JOUR 307",
866,SPAN 260,,SPAN 266,,,SPAN 220,
867,PORT 300,,,,,"PORT 220, PORT 240, PORT 120, PORT 150",
868,PORT 302,,,,,"PORT 220, PORT 300, PORT 240, PORT 120, PORT 150",
869,PORT 342,,,,,"PORT 220, PORT 300, PORT 240, PORT 120, PORT 150",
870,SPAN 311,,,,"SPAN 260, SPAN 261",,
871,SPAN 352,,,,"SPAN 308, SPAN 306, SPAN 304",,
872,SPAN 373,,SPAN 378,,"SPAN 308, SPAN 306, SPAN 304",,
873,SPAN 381,,,,,"SPAN 260, SPAN 261",
874,SPAN 382,,,,"SPAN 308, SPAN 306, SPAN 304",,
875,SPAN 405,,,,,"SPAN 310, SPAN 315",
876,SPAN 455,,,,"SPAN 308, SPAN 306, SPAN 304",,
877,SPAN 460,,,,,SPAN 301,
878,SPAN 464,,,,"SPAN 308, SPAN 306, SPAN 304",,
879,SPAN 465,,,,"SPAN 260, SPAN 261",,
880,SPAN 469,,,,,"SPAN 260, SPAN 261, SPAN 220",
881,SPAN 471,,,,,SPAN 302,
882,SPAN 472,,,,,"SPAN 308, SPAN 306, SPAN 304",
883,AMST 133,,,,,REL 133,
884,HIST 473,,HIST 371,,,,
885,LING 401,,LING 401,,,LING 301,
886,LING 402,,LING 402,,,"LING 210, LING 302",udc00084
887,LING 403,,LING 201,,,LING 302,
888,LING 410,,LING 396,,,LING 210,
889,MATH 434,,,,,"MATH 226, MATH 227","csr01123, csr00962, csr02531"
890,MATH 450,,,,,"MATH 245, MATH 225",csr01548
891,AME 305,,,,,"CE 225, AME 204",
892,AME 410,,,,AME 305,,
893,AME 303,,,,,"CE 235, AME 301",
894,IML 201,,IML 101,,,,udc00156
895,IML 288,,IML 388,,,,
896,IML 202,,IML 102,,,IML 201,
897,IML 203,,IML 103,,,IML 202,
898,IML 310,,,,,IML 300,
899,IML 404,,,,,IML 288,
900,IML 428,,,,,IML 328,
901,IML 435,,,,,IML 335,
902,IML 436,,,,,IML 335,
903,IML 454,,,,,IML 354,
904,IML 441,,,,,IML 346,
905,IML 444,,,,,IML 441,
906,IML 422,,IML 222,,,,"udc00101, csr00910, csr01554, csr00021, csr00091, csr00281, udc00182"
907,IML 458,,,,,"IML 456, CTPR 457",
908,ARAB 252,,MDES 252,,,ARAB 222,
909,IRAN 250,,MDES 250,,,IRAN 220,
910,CLAS 378,"MDES 378, HIST 328",,,,,
911,COLT 437,MDES 437,COLT 448,,,,
912,COLT 447,MDES 447,COLT 448,,,,
913,MDES 343,COLT 347,,,,,
914,MDES 340,IR 359,,,,,
915,ARAB 300,LING 300,,,,ARAB 222,
916,ARAB 322,,MDES 322,,,ARAB 252,
917,ARAB 333,,MDES 333,,,"ARAB 222, ARAB 152, ARAB 252",
918,ARAB 334,,MDES 334,,,ARAB 222,
919,ARAB 352,,MDES 352,,,ARAB 322,
920,IRAN 320,,MDES 320,,,IRAN 250,
921,IRAN 350,,MDES 350,,,IRAN 320,
922,MDES 345,IR 350,,,,,
923,MUHL 231,,MUHL 385,,,"MUHL 385, MUCO 132, MUCO 133",
924,MUHL 232,,MUHL 385,,,"MUCO 132, MUCO 133",
925,MUHL 331,,MUHL 280,,,"MUCO 132, MUCO 133, MUCO 233, MUCO 232",
926,MUHL 332,,MUHL 280,,"MUEN 331, MUCO 233, MUHL 231, MUCO 232, MUHL 232",,
927,MUIN 360,,,,,MUIN 270,
928,MUIN 450,,,,,"MUIN 360, MUIN 372",
929,MUIN 370,,,,,"MUIN 270, MUIN 272",
930,MUIN 443,,,,,"MUIN 360, MUIN 372","csr00992, csr00996"
931,MUIN 445,,,,,MUIN 360,
932,MTEC 175,,MTEC 275,,,,
933,MTEC 176,,MTEC 275,,MTEC 175,,
934,MTEC 275,,MTEC 275,,"MTEC 176, MTEC 175",,csr01146
935,MTEC 389,,MUIN 389,,,MTEC 275,
936,MTEC 392,,MUIN 392,,,MTEC 275,
937,MTEC 442,,MUIN 442,,,MTEC 275,
938,MTEC 477,,MUIN 477,,,MTEC 275,
939,MTEC 478,,MUIN 478,,,MTEC 446,
940,MTEC 479,,MUIN 479,,,"MTEC 446, MTEC 275",
941,MTEC 494,,MUIN 494,,,,
942,BAEP 450,,"BAEP 310, BAEP 423, BAEP 451, BUAD 301",,,,"csr02002, csr02002, csr01432, csr01399, csr00854"
943,BAEP 451,,"BAEP 310, BAEP 423, BAEP 450, BUAD 301",,,,
944,MUIN 497,,,,,"MUIN 270, MUIN 272","csr00780, csr02489"
945,MUIN 372,,MUIN 372,,,"MUIN 270, MUIN 272",
946,MUIN 444,,,,,"MUIN 360, MUIN 372",
947,MUIN 475,,,,,MUIN 425,
948,MTEC 486,,MUIN 486,,,MTEC 446,
949,MTEC 493,,MUIN 493,,,MTEC 275,csr01145
950,MKT 385,,BUAD 307,,,,
951,MUIN 410,,,,,"MUIN 270, MUIN 272",csr01836
952,MUIN 420,,,,,"MUIN 270, MUIN 272",
953,MPPM 340,,,,MPPM 240,,
954,MPVA 241,,,,,MPVA 141,
955,MUSC 355,,MUCO 252,,,MUSC 255,
956,MUSC 455,,MUCO 254,,,MUSC 355,
957,MUIN 498,,,,,"MUIN 270, MUIN 272","csr01880, csr02345, csr01842, csr00266, csr01437, csr02145"
958,MTEC 337,,,,,MTEC 237,"csr00992, csr01517, csr01500, csr01502, csr01499"
959,MTEC 430,,,,,"MTEC 176, MTEC 175, MTEC 575, MTEC 277",
960,MTEC 491,,MTEC 291,,,"MTEC 446, MTEC 275",
961,MUCO 131,,,,,MUCO 133,
962,CTWR 415,,,,,"CTWR 413, CTWR 412, CTWR 416","csr01505, csr00792, csr02003, csr02003"
963,ENGL 402,,,,,"ENGL 302, ENGL 262, ENGL 263, ENGL 305, ENGL 261",
964,THTR 366,,,,,THTR 365,
965,ENGL 444,,,,ENGL 263,,udc00233
966,THTR 210,,,,THTR 125,,
967,THTR 211,,THTR 311,,THTR 125,,
968,CLAS 380,,,,CLAS 280,,
969,ENGL 423,,,,,ENGL 261,
970,ENGL 424,,,,,ENGL 262,
971,ENGL 425,,,,,ENGL 262,
972,ENGL 426,,,,,ENGL 262,
973,ENGL 440,,,ENGL 263,,,
974,ENGL 441,,,ENGL 263,,,
975,ENGL 361,,ENGL 455,,,,
976,ENGL 363,,ENGL 463,,,,
977,THTR 300,,THTR 200,,,,
978,BISC 408,,,,,BISC 421,
979,BISC 410,,,,,BISC 330,
980,BISC 411,,,,,"BISC 221, BISC 220, BISC 320",
981,BISC 422,,,BISC 421,,,
982,BISC 426,,,,,BISC 421,
983,MATH 265,,,,,"MATH 125, MATH 127, MATH 126","csr00220, csr01367"
984,PSYC 426,,,,,PSYC 100,
985,SOCI 408,,,SOCI 325,,"SOCI 200, SOCI 314, SOCI 313, SOCI 325, SOCI 270, SOCI 370",
986,ANTH 357,,,,,"ANTH 100, ANTH 200",
987,SOCI 402,SWMS 402,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
988,SOCI 429,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
989,SOCI 464,SWMS 464,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
990,COMM 487,,,,COMM 385,,
991,PPD 318,,PPMT 351,,,,"csr00919, csr01036, csr00956, csr01893, csr00310, csr00881, csr01870"
992,SOCI 425,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
993,OT 511,,OT 410,,,,
994,OT 515,,OT 451,,,,"csr01367, csr00220"
995,OT 518,,OT 480,,,,
996,OT 521,,OT 411,,,,
997,OT 523,,OT 430,,,,
998,OT 525,,OT 470,,,,"csr01059, csr01662, csr00848, csr01567, csr01736"
999,OT 501,,OT 401,,,,
1000,OT 502,,OT 402,,,,csr02573
1001,OT 503,,OT 403,,,,
1002,MPGU 259,,,,MUCO 232,,
1003,MPGU 357,,,,MPGU 257,,
1004,MPGU 426,,"MUHL 426, MPGU 426",,MUHL 332,,
1005,MPGU 427,,"MUHL 426, MPGU 426",,MPGU 426,,
1006,MPGU 459,,,,"MUCO 233, MUCO 232",,
1007,MUEN 323,,"MUEN 423, MUEN 223",,,,
1008,MUEN 325,,"MUEN 225, MUEN 425",,,,
1009,MPKS 260,,,,,MPKS 160,
1010,MUEN 328,,MUEN 428,,,,
1011,MPKS 228,,MUEN 228,,,,
1012,MPKS 431,,,,,"MPKS 260, MPKS 253",
1013,MPKS 472,,,,,"MUHL 331, MUHL 332",
1014,MPPM 320,,,,,MPPM 120,
1015,MPGU 258,,,,,MPGU 159,
1016,MPGU 358,,,,,MPGU 258,
1017,MPGU 416,,MUHL 416,,,,
1018,MPGU 301,,"MPGU 201, MPGU 401",,,,
1019,MUEN 327,,"MUEN 227, MUEN 427",,,,
1020,MPVA 203,,MPVA 303,,MPVA 153,,
1021,MPVA 404,,,,MPVA 203,,
1022,MPVA 440,,MPVA 442,,,,
1023,MPVA 479,,MUHL 479,,,,
1024,FREN 150,,,,,FREN 120,
1025,RXRS 403,,,,,BISC 220,
1026,RXRS 408,,,,,"BISC 220, CHEM 105, BISC 120",
1027,RXRS 409,,,,,"BISC 450, RXRS 408",
1028,RXRS 410,,,,,"BISC 220, CHEM 105, BISC 120",
1029,PHIL 222,,PHIL 350,,,,csr00654
1030,PHIL 240,,PHIL 262,,,,
1031,POSC 426,,,,POSC 130,,
1032,POSC 444,,,,"POSC 440, POSC 340",,
1033,POSC 440,,,,POSC 340,,
1034,POSC 443,,,,POSC 130,,
1035,PHYS 440,,,PHYS 438,,,
1036,PHYS 493,,,,,"PHYS 152, PHYS 153",
1037,EE 352,,,,,CSCI 104,"csr01451, csr02000, csr02000"
1038,ECON 303,,,ECON 205,,"MATH 118, MATH 125, ECON 203",
1039,BUAD 350,,,,,"ECON 205, ECON 203",
1040,ECON 330,,,,,ECON 203,
1041,ECON 332,,,,,ECON 203,
1042,ECON 360,,,,,"ECON 205, ECON 203",csr01114
1043,ECON 366,,,,,"ECON 205, ECON 203",
1044,ECON 395,,,,,"ECON 205, ECON 203",
1045,PPD 357,,PPMT 357,,,ECON 203,
1046,ECON 487,,,,,ECON 303,
1047,PSYC 316,,,,,"PSYC 100, PSYC 314",
1048,MATH 117,,,,,MATH 040,
1049,PPD 240,,PPMT 240,,,,
1050,PPD 301,,PPD 401,,,,
1051,PPD 303,,PPD 404,,,MATH 117,
1052,PPD 373,,PPD 473,,,"PPD 225, PPD 303, ECON 203",
1053,PPD 415,,,,,PPD 325,
1054,PPD 413,,PPMT 439,,,,
1055,PPD 320,,PPMT 485,,,,
1056,PPD 403,,PPMT 403,,,,
1057,PPD 371,,PPMT 371,,,,
1058,PPD 372,,PPMT 372,,,,
1059,PPD 313,,PPMT 313,,,ECON 203,
1060,PPD 342,,PPMT 342,,,,
1061,ECON 434,,,,,ECON 303,
1062,PPD 439,,PLDV 440,,,,
1063,PPD 404,,,,,PPD 303,
1064,PPD 358,,PLDV 402,,,,
1065,PPD 380,,PPMT 412,,,,udc00054
1066,PR 209,,JOUR 209,,,,"csr01114, csr01118, csr00777, csr02486"
1067,PR 250,,"JOUR 250, JOUR 350",,,,"csr01114, csr01115, csr01118, csr01116"
1068,PR 351,,JOUR 351,,,"PR 250, JOUR 209, JOUR 250, PR 209","csr01114, csr01126, csr01117, csr02097, csr02311"
1069,PR 428,,JOUR 428,,,"PR 250, JOUR 250",csr01114
1070,PR 429,,JOUR 429,,,"PR 351, JOUR 351","csr01114, csr01118, csr01116, csr01115"
1071,PR 450,,JOUR 450,,,"JOUR 463, PR 463, PR 351, JOUR 351","csr01116, csr01118, csr01114, csr01117, csr01115"
1072,PR 463,,JOUR 463,,,"PR 351, JOUR 351","csr01115, csr01118, csr01116"
1073,MATH 307,,,,,"MATH 118, MATH 125, MATH 126","csr00006, csr00272"
1074,MATH 308,,,,,MATH 307,"csr00006, csr00272"
1075,BISC 321,,MDA 321,,,"PHYS 151, CHEM 115, BISC 221, BISC 220, CHEM 105, PHYS 135, BISC 120, BISC 121",
1076,BISC 407,NEUR 407,,,BISC 421,,
1077,BISC 434,,,,BISC 325,,
1078,BISC 473,,,,,"BISC 103, BISC 120, BISC 121",
1079,RED 362,,,,,"PPD 227, MATH 118, PPD 245, MATH 108, MATH 125, MATH 117",
1080,RED 375,,PPD 375,,,"RED 362, BUAD 215, ECON 203",
1081,RED 435,,PPD 435,,,"PPD 303, RED 375",
1082,RED 437,,PPD 437,,,RED 435,
1083,EALC 431,,,,EALC 355,,
1084,SLL 255,,,,,SLL 220,
1085,SOCI 325,,,,,"SOCI 200, SOCI 314, SOCI 313",
1086,SOCI 351,,,,,"SOCI 200, SOCI 314",
1087,SOCI 353,,,,,"SOCI 200, SOCI 314",
1088,SOCI 480,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325","khn00725, khn00765, khn00775"
1089,SOCI 494,,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
1090,SOCI 495,,,,,"SOCI 313, SOCI 494",
1091,SPAN 310,,,,,"SPAN 260, SPAN 261",
1092,THTR 231,,,,"THTR 201, THTR 125",,csr00315
1093,THTR 232,,,,,THTR 131,
1094,THTR 335,,THTR 131,,,,
1095,THTR 152,,,,,THTR 101,
1096,THTR 352,,,,,THTR 252,
1097,THTR 354,,,,,"THTR 101, THTR 252",
1098,THTR 454,,,,,THTR 354,
1099,THTR 316,,,,,THTR 216,
1100,THTR 417,,,,THTR 216,,
1101,THTR 424,,,,,"THTR 101, THTR 305, THTR 152, THTR 130",
1102,THTR 442,,,,,"THTR 408, THTR 342",
1103,THTR 452,,,,,THTR 352,
