"id","course_name","course_url","description","image_url","provenance","subject"
"edx01147","The Science and Politics of the GMO","https://www.edx.org/course/science-politics-gmo-cornellx-gmo101x","Learn the basics of genetic engineering and biotechnology and examine why the GMO is politically contentious. Participants will gain an understanding of how science works, its limits, and how the interaction of these factors leads to decision making.","https://www.edx.org/sites/default/files/course/image/featured-card/gmo_course_image_318x210.jpg","Cornell University","Science;Food & Nutrition;Social Sciences"
"edx01148","Mao to Now: On Chinese Marxism","https://www.edx.org/course/mao-now-chinese-marxism-newcastlex-mtn101x","An insightful study of Chinese Marxism, socialism and capitalism - critical for anyone who wishes to engage with China today.","https://www.edx.org/sites/default/files/course/image/featured-card/chin_marx_video_thumb_318_x_210.jpg","The University of Newcastle, Australia","Philosophy & Ethics"
"edx01149","Masterpieces of World Literature","https://www.edx.org/course/masterpieces-world-literature-harvardx-hum12x-0","Embark on a global journey to explore the past, present, and future of World Literature.","https://www.edx.org/sites/default/files/course/image/featured-card/course_image_cantino_planisphere_318x210.jpg","Harvard University","Literature;Humanities;History"
"edx01150","Financing for Development: Unlocking Investment Opportunities","https://www.edx.org/course/financing-development-unlocking-wbgx-f4d01x","Learn from prominent government and international organization leaders about innovations to finance the Sustainable Development Goals (SDGs).","https://www.edx.org/sites/default/files/course/image/featured-card/fin4dev_logo_318x210_0.jpg","World Bank Group","Economics & Finance;Social Sciences"
"edx01151","Computation Structures 3: Computer Organization","https://www.edx.org/course/computation-structures-3-computer-mitx-6-004-3x-0","Learn how to turn a processor into an entire computer system in this interactive computer science course from MIT.","https://www.edx.org/sites/default/files/course/image/featured-card/6.004.3x_318x210.jpg","Massachusetts Institute of Technology","Computer Science;Electronics;Engineering"
"edx01152","Data Visualization for All","https://www.edx.org/course/data-visualization-all-trinityx-t005x","Tell your story with charts and maps on the web, using easy-to-learn free tools: Google Sheets, Tableau, Highcharts, Carto, Leaflet, GitHub","https://www.edx.org/sites/default/files/course/image/featured-card/datavizforall-course-image_318x210.jpg","Trinity College","Data Analysis & Statistics;Social Sciences;Humanities"
"edx01153","The Conquest of Space: Space Exploration and Rocket Science","https://www.edx.org/course/conquest-space-space-exploration-rocket-uc3mx-bia-1x-0","Explore the history of space travel and learn the basics of aerospace engineering. ","https://www.edx.org/sites/default/files/course/image/featured-card/bia.1x-course_image-318x210.jpg","Universidad Carlos III de Madrid","Engineering;History"
"edx01154","Engineering: Building with Nature","https://www.edx.org/course/engineering-building-nature-delftx-bwn101x-0","Learn how to use ecological and engineering design principles to develop more effective and sustainable hydraulic infrastructure.","https://www.edx.org/sites/default/files/course/image/featured-card/bwn101x-about_page_image-318x210a.jpg","Delft University of Technology (TU Delft)","Biology & Life Sciences;Engineering;Environmental Studies"
"edx01155","Understanding Islamic Insurance and Investments","https://www.edx.org/course/understanding-islamic-insurance-irtix-ifb103x","Learn about the Islamic Takaful system and the basics of Islamic insurance, mutual and investment funds.","https://www.edx.org/sites/default/files/course/image/featured-card/ifb103x_banner_318x210.jpg","The Islamic Research and Training Institute","Economics & Finance"
"edx01156","Design and Development of Educational Technology","https://www.edx.org/course/design-development-educational-mitx-11-132x-1","This project-based course explores educational technologies and the theories underlying their development through interviews with experts in the field.","https://www.edx.org/sites/default/files/course/image/featured-card/11-132x-design-318x210.jpg","Massachusetts Institute of Technology","Education & Teacher Training;Computer Science;Design;Social Sciences"
"edx01157","Space Mission Design and Operations","https://www.edx.org/course/space-mission-design-operations-epflx-ee585x-0","Learn the concepts used in the design of space missions, manned or unmanned, and operations, based on the professional experience of the lecturer.","https://www.edx.org/sites/default/files/course/image/featured-card/ee585x-about_page_image-318x210.jpg","École polytechnique fédérale de Lausanne","Engineering;Science;Physics"
"edx01158","Computer System Design: Advanced Concepts of Modern Microprocessors","https://www.edx.org/course/computer-system-design-advanced-concepts-chalmersx-chm008x","Learn about advanced computer design concepts, including how to make modern multicore-based computers both fast and energy efficient.","https://www.edx.org/sites/default/files/course/image/featured-card/course_image_chm008x_318x210.jpg","Chalmers University of Technology ","Computer Science"
"edx01159","Global Health Informatics to Improve Quality of Care","https://www.edx.org/course/global-health-informatics-improve-mitx-hst-936x","Learn how to design health information and communication technology (ICT) solutions for the developing world.","https://www.edx.org/sites/default/files/course/image/featured-card/hst936x_sp17_318x210.png","Massachusetts Institute of Technology","Medicine;Computer Science;Engineering"
"edx01160","Advanced Software Construction in Java","https://www.edx.org/course/advanced-software-construction-java-mitx-6-005-2x","Learn how to write programs that are safe from bugs, easy to understand, and ready for change.","https://www.edx.org/sites/default/files/course/image/featured-card/6.005.2x_318x210.jpg","Massachusetts Institute of Technology","Computer Science"
