Mooc_#,course_name,course_url,description,id,image_url,provenance,special_id,subject
33,"Applied Plotting, Charting & Data Representation in Python",http://www.coursera.org/specializations/data-science-python,"will introduce the learner to information visualization basics, with a focus  on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good... moreYou can choose to take  only. Learn more.",csr00034,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,University of Illinois at Urbana-Champaign,spc00006,
34,Applied Machine Learning in Python,http://www.coursera.org/specializations/data-science-python,"will introduce the learner to applied machine learning, focusing more on the  techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than des... moreYou can choose to take  only. Learn more.",csr00035,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,University of Illinois at Urbana-Champaign,spc00006,
35,Applied Text Mining in Python,http://www.coursera.org/specializations/data-science-python,"will introduce the learner to text mining and text manipulation basics. The  course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk frame... moreYou can choose to take  only. Learn more.",csr00036,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,University of Illinois at Urbana-Champaign,spc00006,
36,Applied Social Network Analysis in Python,http://www.coursera.org/specializations/data-science-python,will introduce the learner to network analysis  through the NetworkX  library. The course begins with an understanding of what network analysis is  and motivations for why we might model phenomena as networks. The second week introd... moreYou can choose to take  only. Learn more.,csr00037,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,University of Illinois at Urbana-Champaign,spc00006,
37,Data Management and Visualization,http://www.coursera.org/specializations/data-analysis,"Whether being used to customize advertising to millions of website visitors or  streamline inventory ordering at a small restaurant, data is becoming more integral to success. Too often, were not sure how use data to find answers to the questi... moreYou can choose to take  only. Learn more.",csr00038,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, San Diego",spc00007,
38,Data Analysis Tools,http://www.coursera.org/specializations/data-analysis,", you will develop and test hypotheses about your data. You will learn a  variety of statistical tests, as well as strategies to know how to apply the appropriate one to your specific data and question. Using your choice of two ... moreYou can choose to take  only. Learn more.",csr00039,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, San Diego",spc00007,
39,Regression Modeling in Practice,http://www.coursera.org/specializations/data-analysis,"focuses on one of the most important tools in your data analysis arsenal:  regression analysis. Using either SAS or Python, you will begin with linear regression and then learn how to adapt when two variables do not present a clea... moreYou can choose to take  only. Learn more.",csr00040,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, San Diego",spc00007,
40,Machine Learning for Data Analysis,http://www.coursera.org/specializations/data-analysis,"Are you interested in predicting future outcomes using your data?  helps you  do just that! Machine learning is the process of developing, testing, and applying predictive algorithms to achieve this goal. Make sure to familiarize yours... moreYou can choose to take  only. Learn more.",csr00041,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, San Diego",spc00007,
41,Data Analysis and Interpretation Capstone,http://www.coursera.org/specializations/data-analysis,About the Capstone ProjectThe Capstone project will allow you to continue to apply and refine the data analytic  techniques learned from the previous courses in the Specialization to address an important issue in society. You will use real world data to complete a project ... moreYou can choose to take  only. Learn more.,csr00042,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,"University of California, San Diego",spc00007,
42,"Big Data Essentials: HDFS, MapReduce and Spark RDD",http://www.coursera.org/specializations/big-data-engineering,"Have you ever heard about such technologies as HDFS, MapReduce, Spark? Always wanted to  learn these new tools but missed concise starting material? Dont miss  either!In this 6-week course you will:- learn some basic technologies of th... moreYou can choose to take  only. Learn more.",csr00043,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,University of Michigan,spc00008,
