special_id,name,provenance,courseList
spc00109,Business Foundations,University of Pennsylvania,"csr01041, csr01042, csr01043, csr01044, csr01045, csr01046"
spc00110,Marketing in a Digital World,University of Illinois at Urbana-Champaign,"csr01047, csr01048, csr01049, csr01050, csr01051"
spc00111,The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park","csr01052, csr01053, csr01054, csr01055, csr01056, csr01057"
spc00112,Food & Beverage Management,Universit Bocconi,"csr01058, csr01059, csr01060, csr01061"
spc00113,International Marketing Entry and Execution,Yonsei University,"csr01062, csr01063, csr01064, csr01065, csr01066"
spc00114,International Marketing & Cross Industry Growth ,Yonsei University,"csr01067, csr01068, csr01069, csr01070, csr01071"
spc00115,Introduccin al Marketing,University of Pennsylvania,"csr01072, csr01073, csr01074, csr01075, csr01076, csr01077"
spc00116,The Strategy of Content Marketing,"University of California, Davis","csr01078, csr01079, csr01080, csr01081, csr01082"
spc00117,Digital Product Management: Modern Fundamentals,University of Virginia,"csr01093, csr01094, csr01095, csr01096, csr01097, csr01098, csr01099"
spc00118,Digital Marketing,University of Illinois at Urbana-Champaign,"csr01100, csr01101, csr01102, csr01103"
spc00119,Digital Signal Processing,cole Polytechnique Fdrale de Lausanne,"csr01104, csr01105, csr01106, csr01107, csr01108, csr01109, csr01110, csr01111, csr01112, csr01113"
spc00120,Digital Footprint,The University of Edinburgh,"csr01114, csr01115, csr01116, csr01117, csr01118"
spc00121,Introduction to Electronics,Georgia Institute of Technology,"csr01135, csr01136, csr01137, csr01138, csr01139, csr01140"
spc00122,Software Architecture,University of Alberta,"csr01160, csr01161, csr01162, csr01163"
spc00123,Service-Oriented Architecture,University of Alberta,"csr01164, csr01165, csr01166, csr01167"
spc00124,Computer Architecture,Princeton University,"csr01168, csr01169, csr01170, csr01171"
spc00125,Financing and Investing in Infrastructure,Universit Bocconi,"csr01189, csr01190, csr01191, csr01192, csr01193, csr01194"
spc00126,Smart Cities  Management of Smart Urban Infrastructures,cole Polytechnique Fdrale de Lausanne,"csr01195, csr01196, csr01197, csr01198"
spc00127,Computer Architecture,Princeton University,"csr01199, csr01200, csr01201, csr01202"
spc00128,Learn to Program: The Fundamentals,University of Toronto,"csr01220, csr01221, csr01222, csr01223, csr01224"
spc00129,Beginning Game Programming with C#,University of Colorado System,"csr01225, csr01226, csr01227, csr01228, csr01229, csr01230"
spc00130,Java Programming and Software Engineering Fundamentals,Duke University,"csr01231, csr01232, csr01233, csr01234"
spc00131,Programming for Everybody (Getting Started with Python),University of Michigan,"csr01235, csr01236, csr01237, csr01238, csr01239"
spc00132,Code Yourself! An Introduction to Programming,"The University of Edinburgh, Universidad ORT Uruguay","csr01240, csr01241, csr01242, csr01243"
spc00133,Introduction to Programming with MATLAB,Vanderbilt University,"csr01244, csr01245, csr01246"
spc00134,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine","csr01247, csr01248, csr01249, csr01250, csr01251"
spc00135,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,"csr01265, csr01266, csr01267, csr01268"
spc00136,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,"csr01269, csr01270, csr01271, csr01272, csr01273, csr01274"
spc00137,Data Science at Scale,University of Washington,"csr01275, csr01276, csr01277, csr01278"
spc00138,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine","csr01279, csr01280, csr01281, csr01282, csr01283"
spc00139,Architecting with Google Cloud Platform,Google Cloud,"csr01284, csr01285, csr01286, csr01287"
spc00140,"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,"csr01303, csr01304, csr01305, csr01306, csr01307"
spc00141,Maps and the Geospatial Revolution,The Pennsylvania State University,"csr01308, csr01309, csr01310, csr01311"
spc00142,Data Visualization with Tableau,"University of California, Davis","csr01312, csr01313, csr01314, csr01315, csr01316, csr01317"
spc00143,Visual Analytics with Tableau,"University of California, Davis","csr01318, csr01319, csr01320, csr01321, csr01322"
spc00144,Data Science at Scale,University of Washington,"csr01323, csr01324, csr01325, csr01326, csr01327, csr01328"
spc00145,Mindware: Critical Thinking for the Information Age ,University of Michigan,"csr01344, csr01345, csr01346, csr01347"
spc00146,Homeland Security and Cybersecurity,University of Colorado System,"csr01348, csr01349, csr01350, csr01351, csr01352"
spc00147,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,"csr01353, csr01354, csr01355, csr01356"
spc00148,Personality Types at Work,University of Florida,"csr01357, csr01358, csr01359, csr01360"
spc00149,Data Analysis and Presentation Skills: the PwC Approach,PwC,"csr01361, csr01362, csr01363, csr01364, csr01365"
spc00150,Master's in Innovation and Entrepreneurship,,"csr01381, csr01382, csr01383, csr01384, csr01385"
spc00151,Professional Certificate in Innovation Management and Entrepreneurship,,"csr01386, csr01387, csr01388, csr01389, csr01390, csr01391, csr01392, csr01393, csr01394, csr01395"
spc00152,Entrepreneurship,University of Pennsylvania,"csr01396, csr01397, csr01398, csr01399"
spc00153,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,"csr01400, csr01401, csr01402, csr01403, csr01404, csr01405"
spc00154,English for Business and Entrepreneurship,University of Pennsylvania,"csr01406, csr01407, csr01408"
spc00155,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,"csr01409, csr01410, csr01411, csr01412"
spc00156,Career Success,"University of California, Irvine","csr01413, csr01414, csr01415, csr01416, csr01417, csr01418, csr01419"
spc00157,Cyber Threats and Attack Vectors,University of Colorado System,"csr01433, csr01434, csr01435, csr01436, csr01437"
spc00158,Detecting and Mitigating Cyber Threats and Attacks,University of Colorado System,"csr01438, csr01439, csr01440, csr01441"
spc00159,Cybersecurity,"University of Maryland, College Park","csr01442, csr01443, csr01444"
spc00160,Bitcoin and Cryptocurrency Technologies,Princeton University,"csr01445, csr01446, csr01447, csr01448"
spc00161,"Knowledge Exchange: Using, Protecting and Monetizing Ideas with Third Parties","Universiteit Leiden, Leiden University Medical Center, Luris","csr01465, csr01466, csr01467, csr01468, csr01469"
spc00162, (Journey of the Universe: Weaving Knowledge and Action),Yale University,"csr01470, csr01471, csr01472, csr01473, csr01474"
