"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"DANC 470","Dance Leadership","Preparation for leadership in the dance world including structuring companies , marketing choreography , obtaining financing as a dance-maker , collaborating dance initiatives , and leading in dance education .","","","","","",""
"DANC 480","DANC 480 Advanced Performance Studies : Senior Seminar","Seminar and studio course in preparation of the senior project to be presented in spring semester , in performance , choreography , scholarship or entrepreneurship .","","","","","",""
"DANC 485","DANC 485 Advanced Performance Studies : Senior Project","Development and presentation of senior project in performance , choreography , media , music , scholarship or entrepreneurial enterprise . Senior projects presented to faculty panel in open performance venue . ","DANC 480","","","","",""
"DANC 410","DANC 410 Dance Technique IV","Pre-professional technique studies in a studio setting with concentration on classical ballet , hip hop and its derivatives , and contemporary techniques essential to the dancers’ development . ","DANC 310","","","","",""
"DANC 420","DANC 420 Repertory and Performance IV","Study and guided practice of significant roles in new and existing choreography . Emphasis on refinement of partnering , solo and group performance technique . ","DANC 320","","","","",""
"DANC 285","DANC 285 Elements of Dance Production","Theoretical aspects of creativity , choreography , accompaniment , dance notation , and production ; application in individual and group composition .","","","","","THTR 285",""
"DANC 305","DANC 305 Dance and New Media","An introduction to existing and emerging technologies used in creating and delivering dance works .","","","","","",""
"DANC 312","DANC 312gw African American Dance","Exploration of the discursive foundations , political motivations , and aesthetic strategies of dance writers and artists whose works have enabled the category of “black dance .”","","","","","DANC 412",""
"DANC 330","DANC 330 Composition I : Advanced","Intermediate and advanced compositional systems for generating and modifying movement . ","DANC 231","","","","",""
"DANC 333","DANC 333g Origins of Jazz Dance","Examining the role that vernacular dance and music play in the creation of Jazz Dance , taught in lecture format ; practical studies in Jazz Dance , from recreational to professional settings .","","","","","",""
"DANC 345","DANC 345 Artist in Residence","Investigation and development of choreographic methods and practices through observation and active participation with the guest artist .","","","","","",""
"DANC 347","DANC 347 Artist Collaborative","Development of an artistic work of two or more media , working with colleagues and or faculty in allied disciplines .","","","","","",""
"DANC 355","DANC 355 Performance Lab","Intermediate and advanced solo and partnering techniques in classical , contemporary , and street dance .","","","","","",""
"DANC 362","DANC 362 Pilates Mat Training","Mat exercises designed to promote healthy movement practices , develop strength , balance , flexibility and coordination .","","","","","",""
"DANC 363","DANC 363g Dancing on the Screen","The study of dance in movies , television , internet , mobile devices and new media . Examining dance on screen , influenced by storytelling , camera technology and editing .","","","","","",""
"DANC 430","DANC 430 Composition II : Upper Level","Complex strategies for creating and analyzing choreographic composition , as well as processing and composing embodied information in real-time at the upper level . ","DANC 330","","","","",""
"DANC 432","Creativity , Culture , Commerce and Community","Exploration of artistic entrepreneurial mechanisms to initiate innovative endeavors in the professional dance world which are relevant to today’s culture , communities , customs , and business landscape .","","","","","",""
"DANC 442","DANC 442 International and Historical Perspectives on Dance II","Exploration of dance as an art form in its artistic , political , and socio-cultural climate . Studies of the continuum of dance within its historical context . ","DANC 342","","","","DANC 442",""
"DANC 452","Dancing with Words","Development of descriptive and analytical skills for dance writing (journalism , education , scholarship , audience development , marketing) and refinement of social-media expertise to connect with relevant audiences .","","","","","",""
"DANC 490","DANC 490x Directed Research","Individual research and readings .","","","","","","csr01115/0.3215"
"DANC 495","DANC 495 Dance Internship","Practical experience linked with information and learned skills . Providing supervised field application of dance theories and practices within an employment context in dance .","","","","","",""
"DANC 499","DANC 499 Special Topics","Selected topics of current interest .","","","","","",""
"DES 102","DES 102 Design Fundamentals","Introduction to the basic elements and processes of visual communication and design . Instruction includes studio projects , lectures and readings . Various media used .","","","","","FADN 102","csr00855/0.35850000000000004;csr01656/0.35850000000000004;csr01260/0.327;csr01392/0.3155;udc00076/0.3065"
"DES 202","DES 202 Design II","Exploration of essential elements of traditional and digital design , including color and image-text integration , editing information , typography and sequencing . ","DES 102;FADN 102","","","DES 203;FADN 203","FADN 202",""
"DES 203","DES 203 Digital Tools for Design","Exploration of the processes of germination , ideation and application/execution in design integrated with computer usage .","","","","DES 202","FADN 203","csr00542/0.309;csr00385/0.307;csr01932/0.3055"
"DES 213","DES 213 Digital Tools in 3D Design","3D digital modeling , rendering , digital capture and production methods for product , package and environmental design . ","FADN 203;DES 203;DES 230","","","","",""
"DES 230","DES 230 3D Design : Materials and Tools","Introduction to the study of 3-D Design . Includes a wide investigation of materials , tools , and techniques specific to dimensional design as they apply to package , product , and environmental design . ","ACAD 176;DES 102;FADN 102","","ACAD 230","","FADN 230",""
"DES 302","DES 302 Design III","Advanced exploration of typography and image-text integration , including collaborative projects , pre-press and proofing techniques , narrative concepts and information architecture . ","DES 202;FADN 202","","","","FADN 302",""
"DES 303","DES 303 Web Design","A workshop-based course that focuses on software applications in design and web design . ","ACAD 177;DES 203;FADN 203","","ACAD 303","","FADN 303","csr00635/0.4295;csr00346/0.428;csr00621/0.428;csr00679/0.428;csr01961/0.3715;csr01961/0.3715;csr00608/0.3535;csr01474/0.3535;csr02361/0.309;udc00076/0.302"
"DES 322","DES 322 Publication Design","Application of layout , typography , design principles and image making in the design and production of books , magazines , zines and digital books . ","DES 202;FADN 202;DES 203;FADN 203;DES 332","","","","",""
"DES 323","DES 323g Design Theory","A comprehensive study of visual communication focusing on graphic design from 1900 to the present . An introduction to design thinking , language and principles including political and cultural implications .","","","ACAD 323","","FADN 323",""
"DES 332","DES 332a Typography","The study of visual communication through the use of letterforms from historical tradition to contemporary experimental rebellion .","","","ACAD 332","","FADN 332","csr00856/0.47050000000000003;csr01657/0.47050000000000003"
"DES 402","DES 402 Advanced Design Projects","Advanced information design within a flexible curriculum . Emphasis on team-oriented projects . ","DES 302;FADN 302","","","","FADN 402","khn00639/0.375;khn00649/0.375;khn00659/0.375;khn00669/0.375;khn00679/0.375;khn00689/0.375;khn00699/0.375;khn00709/0.375"
"DES 413","DES 413 Professional Practice in Design","A summation of one’s practice , with a focus on transitioning to a career as a professional designer . ","DES 402;FADN 402","","","","",""
"DES 419","DES 419 Professional Internship in the Arts","(Enroll in ART 419 )","","","","","",""
"DES 432","DES 432 Special Projects in Design","Students work on projects for outside clients , and receive instruction in professional practices , advanced design techniques , and sophisticated technology . By invitation or portfolio review only . Only open to upper division students . ","DES 302;FADN 302","","","","FADN 432","khn00639/0.333;khn00649/0.333;khn00659/0.333;khn00669/0.333;khn00679/0.333;khn00689/0.333;khn00699/0.333;khn00709/0.333"
"DES 494","DES 494a Senior Thesis","Research and writing of a senior-level thesis or thesis project under the supervision of a faculty committee .","","","","","",""
"GEOL 315","GEOL 315 L Minerals and Earth Systems","Minerals and their formation in Earth geosystems ; includes discussions of mineral properties , crystal structures , uses and bio geochemical importance .","","CHEM 105;CHEM 115","","","",""
"EALC 110","EALC 110gp East Asian Humanities : The Great Tradition","Introduction to the major humanities traditions of China , Japan , and Korea through an examination of representative works drawn from literature , aesthetics , philosophy , religion , and historical writing .","","","","","",""
"EALC 125","EALC 125g Introduction to Contemporary East Asian Cinema and Culture","An introduction to and overview of the contemporary cinemas of East Asia : China (Hong Kong , the People’s Republic , and Taiwan) , Japan , and Korea .","","","","","",""
"EALC 130","EALC 130gp Introduction to East Asian Ethical Thought","Introduction to the history of Chinese , Japanese , and Korean ethical thought ; perspectives on human nature , historical writing , religious options , and aesthetic implications . Conducted in English .","","","","","",""
"EALC 150","EALC 150gw Global Chinese Cinema and Cultural Studies","Examination of the transnational production and circulation of Chinese-language cinema . Analysis of the larger sociocultural significance of films by engaging their historical context .","","","","","",""
"EALC 333","EALC 333g Introduction to Korean Film","Survey of Korean film , the film industry , and critical issues from the colonial period to the present .","","","","","",""
"EALC 340","EALC 340gp Japanese Civilization","Survey of the main characteristics and development of art , literature , philosophy , religion , political and social institutions through different periods . Conducted in English .","","","","","",""
"EALC 342","EALC 342gp Japanese Literature and Culture","Japanese literature from the earliest times to the present ; development of prose , poetry and the novel ; evolution of theatre ; Japanese literature under Western influence . Conducted in English .","","","","","",""
"EALC 344","EALC 344gp Korean Culture from Ancient to Modern Times","The history of Korean literature and culture from the ancient to the modern era .","","HIST 105","","","",""
"EALC 350","EALC 350gp Chinese Civilization","Characteristics and aspects of Chinese civilization ; interpretation of philosophy , literature , religion , art , music . Conducted in English .","","","","","",""
"EALC 306","Advanced Modern Chinese II","Continuation of EALC 304  ; composition exercises in different styles of writing . ","EALC 304","","","","",""
"EALC 317","Advanced Korean II","Continuation of EALC 315  , with emphasis on the use of Chinese characters , translation , and composition exercises . ","EALC 315","","","","",""
"EALC 322","Advanced Japanese II","Continuation of EALC 320  . Improve and strengthen abilities to speak , listen , read and write , coping with more involved materials and situation . ","EALC 320","","","","",""
"EALC 332","Modern Korean Literature in Translation","Introduction to Korean literature , with discussion of critical approaches to literary discourse , historical contexts of literary production , and aspects of contemporary popular culture .","","","","","",""
"EALC 346","EALC 346g Hallyu , the Korean Wave","Critical overview of the Korean Wave (Hallyu) , the phenomenon defined as the growing , global circulation and consumption of Korean popular culture .","","","","","",""
"EALC 358","EALC 358g Transnational Chinese Literature and Culture","An introduction to Sinophone literatures and cultures (in English translation) from the Asia-Pacific region , including Taiwan , Hong Kong , Tibet , Southeast Asia , and North America .","","","","","",""
"EALC 360","EALC 360g Performing Japan : Bodies , Media , and Textuality","The classical foundations of Japanese performance , including noh , puppet theater , and kabuki ; exploration of how these genres are implicated in modern and contemporary Japanese performance .","","","","","",""
"EALC 374","EALC 374 Language and Society in East Asia","The interaction of language with society in countries of East Asia : language and identity , the politicization of language , language change , language and gender .","","","","","",""
"EALC 375","EALC 375 Women and Gender in China : Past and Present","An examination of changes in sex roles and in constructs of the female as influenced by traditional Chinese thought and later social developments .","","","","","",""
"EALC 387","Early Japanese Art","(Enroll in AHIS 386 )","","","","","",""
"EALC 426","Classical Japanese","Introduction to the fundamentals of classical grammar ; readings from various classical works , both poetry and prose ; translation practice . ","EALC 322","","","","",""
"EALC 428","Nature and the Ecological Imagination in Japanese Literature","Examination of cultural perceptions about nature and how they affect attitudes toward the environment : includes comparisons to Euro-American as well as other East Asian traditions .","","","","","",""
"EALC 430","EALC 430 Gender and Sexuality in Korean Literature and Culture","Examination of the changing representations of gender and sexuality in Korean cultural texts over the course of the 20th century .","","","","","",""
"EALC 450","Contemporary Japanese Literature and Global Modernity","Examination of historical currents in contemporary Japanese literature and popular culture and the role translation plays in their global circulation and redefinition .","","","","","",""
"EALC 455","Japanese Fiction","Japanese fiction from early to modern times ; literary , philosophical , and social aspects of tales and novels . Conducted in English .","","","","","",""
"EALC 465","Topics in Korean Visual and Cultural Studies","Examination of dominant and emergent critical issues in the study of modern and contemporary Korean visual culture .","","","","","",""
"EALC 470","Introduction to East Asian Linguistics","Survey of the sound systems , writing systems , grammatical systems , historical development , and social environments of the Chinese , Japanese , and Korean languages . ","EALC 406;EALC 417;EALC 424","","","","",""
"EALC 499","EALC 499 Special Topics","Instruction Mode : Lecture Grading Option : Letter","","","","","",""
"EALC 366","EALC 366 Chinese Professional Internship : Communication and Culture","Combined classroom discussion and supervised internship at companies . Practical experience in applying communication and cultural knowledge in a professional , “real world” employment context .  ","EALC 206","","","","",""
"EALC 404","Advanced Modern Chinese III","Readings in modern Chinese literary , documentary , and epistolary styles ; stylistic and syntactic analysis ; composition ; translation . ","EALC 306","","","","",""
"EALC 406","Advanced Modern Chinese IV","Continuation of EALC 404  .","","","","","",""
"EALC 407","EALC 407 News and Web Chinese","Reading selections from newspaper articles and online reports to further develop proficiency in advanced Chinese and understanding of the society and culture . ","EALC 404","","","","","csr00729/0.3235;csr01753/0.3235;csr01778/0.3235;csr02557/0.3105;csr02558/0.3105;csr02556/0.306"
"EALC 412","Business Chinese","Practice in the basic vocabulary and idioms of foreign trade and other commercial transactions in Mandarin . ","EALC 306","","","","","csr02557/0.408;csr02558/0.408;csr02556/0.3865"
"EALC 413","EALC 413 Business Japanese","Practical advanced level Japanese business terms and their usage in a variety of business situations ; cultural insights on Japanese customs that underline business transactions in Japan . ","EALC 322","","","","",""
"EALC 418","Korean Writing in Mixed Script","Selected readings in Korean texts written in mixed script ; a systematic study of Chinese characters and translation of text . ","EALC 217","","","","",""
"EALC 419","Newspaper and Documentary Korean","Selected readings from newspapers , magazines , and other journalistic publications ; analysis of styles and practice in writing articles . ","EALC 217","","","","",""
"EALC 422","Advanced Japanese III","Students develop advanced levels of Japanese linguistic knowledge and communication skills through speaking , listening , reading and writing activities using authentic Japanese texts and discourse . ","EALC 322","","","","",""
"EALC 424","Advanced Japanese IV","Continuation of EALC 422  . Students continue to improve their Japanese language competence in the course of acquiring Japanese pragmatic skills and cultural knowledge . ","EALC 422","","","","",""
"CHEM 203","CHEM 203Lgx AIDS Drug Discovery and Development","Scientific principles underlying molecular approaches to diagnosis and treatment of diseases , using specific models within a societal (business , legal , ethical) context .","","","","","",""
"CHEM 350","CHEM 350g Molecular Principles of Biochemistry","Biomolecular structures , protein and nucleic acid chemistry and functions , carbohydrates , lipids , membranes , enzyme catalysis and kinetics , coenzymes , biochemical signaling , major metabolic pathways , control of gene expression , replication , transcription , and translation . ","CHEM 105;CHEM 115;BISC 220;BISC 221;CHEM 322;CHEM 325","","","","",""
"EE 105","EE 105 Introduction to Electrical Engineering","Electrical engineering overview : communications , computers , circuits , components , signals , electromagnetics , microelectronics ; data encoding and compression , USPS and UPC product codes , DVDs , semiconductor devices , and integrated circuits .","","","","","","khn01275/0.54;khn01285/0.54;khn01295/0.54;khn01305/0.54;khn01315/0.54;khn01325/0.54;khn01265/0.504"
"EE 155","EE 155L Introduction to Computer Programming for Electrical Engineers","Introduction to solving engineering problems using computational methods . Survey of various programming languages and their strengths and weaknesses . Program structure , input/output , conditionals , loops , functions , arrays .","","","","","","khn00519/0.3055;khn00539/0.3055"
"EE 250","EE 250L Distributed Systems for the Internet of Things","Introduction to hardware , operating systems , signal processing and control , network protocols , mobile applications , databases , cloud computing , machine learning , and security for the Internet of Things . ","EE 109;EE 155","","","","","csr02096/0.3525;csr01225/0.3455;csr01269/0.3455;csr00742/0.34500000000000003;csr00735/0.34199999999999997;csr00782/0.34199999999999997;csr00902/0.34199999999999997;csr01232/0.34199999999999997;csr00432/0.322;csr01184/0.3185"
"EE 301","EE 301 L Linear Systems","Representation and analysis of linear time-invariant systems primarily for the continuous time case . Convolution , Fourier series and transform , Laplace transform , controls and communications applications . ","EE 202","","","","",""
"EE 330","Electromagnetics I","Basic static and dynamic electromagnetic field theory and applications ; electrostatics , magnetostatics , Maxwell’s equations , energy flow , plane waves incident on planar boundaries , transmission lines . ","EE 202;MATH 445;PHYS 152","","","","",""
"EE 355","EE 355x Software Design for Electrical Engineers","Object-oriented programming techniques , basic data structures , and elementary complexity analysis for the modeling , simulation , and solution of engineering problems . ","EE 155","","","","CSCI 355",""
"EE 422","EE 422 x Electromagnetic Systems Design","Applied electromagnetics for large- and small-scale electromechanical systems . Comprehensive design project . Capstone design experience . ","EE 330","","","","",""
"EE 423","EE 423Lx Loudspeaker and Sound-System Design","Project-based design of loudspeaker transducers , filters , and enclosures . Measurement of transfer functions , acoustical performance , distortion , Thiele-Small parameters , and power handling . Listening evaluations . Capstone design experience . ","EE 301;AME 302;PHYS 152;EE 330","","","","",""
"EE 434","EE 434 Lx Digital Signal Processing Design Laboratory","Experiments and design project in digital signal processing (e .g . , real-time DSP , acoustics , video) including : systems specification , preliminary analysis , trade-off studies , implementation , presentation . Capstone design experience . ","EE 483","","","","","csr01145/0.465"
"EE 447","EE 447 Lx Mixed Signal Electronic Circuits","Application of solid-state electronic devices to the design of linear and mixed-signal systems . Laboratory experiments and projects involving the design of electronic hardware . Capstone design experience . ","EE 348","","","","",""
"EE 484","EE 484 x Communication System Design","Design and analysis of analog and digital communication systems . System models , requirements , development , performance analysis and component selection techniques . Comprehensive system design project . Capstone design experience . ","EE 364;EE 475;EE 467","","","","",""
"EE 494","EE 494a Undergraduate Thesis","For the undergraduate degree . Credit on acceptance of thesis .  IP (EE 494a) or letter grade (EE 494b) .","","","","","",""
"ENGL 261","ENGL 261g English Literature to 1800","Intensive reading of major writers to 1800 .","","","","","",""
"ENGL 262","ENGL 262g English Literature since 1800","Intensive reading of major writers , 1800–1950 .","","","","","",""
"CE 110","Introduction to Environmental Engineering","Basic concepts of environmental engineering . Air , water , and soil pollution control technologies ; pollution prevention strategies . Design of simple water distribution and treatment systems .","","","","","","csr00990/0.3295;csr01634/0.3135"
"ENE 410","ENE 410 Environmental Fluid Mechanics","Equation of motion ; continuity , momentum , energy principles ; dimensional analysis , similitudes ; groundwater flows ; transports in conduits and channels ; mixing , dispersion in environments ; manifold diffusers ; hydraulic transients . ","MATH 245","","","","CE 309;AME 309",""
"CE 484","Water Treatment Design","Predesign studies , precipitation softening , coagulation and flocculation , sedimentation , filtration , sludge handling , chlorination , chloramination , ozonation ; plant hydraulics , flow measurement , pumps , instrumentation and control , tertiary treatment . ","CE 451","","","","",""
"ENST 387","Economics for Natural Resources and the Environment","An introduction to the economic tools and issues that affect natural resource use and environmental management .","","","","","",""
"ENST 495","Senior Seminar in Environmental Studies","Students form multidisciplinary teams and are asked to study and resolve a major environmental problem facing a particular region or target population .","","","","","",""
"HP 340","HP 340L Health Behavior Statistical Methods","Intermediate statistics for health behavior studies ; topics include descriptive statistics , hypothesis testing , correlation and regression , and use of computer software in data analysis .","","","","","",""
"HP 408","Environmental Health in the Community","Survey of occupational and environmental health . Introduction to epidemiology , exposure assessment , toxicology , policy development , risk assessment , and effects of urban development on health .","","","","","",""
"ENST 335","ENST 335 Science , Health and the Environment","Exploration of environmentally transmitted human diseases ; understanding the human/pathogen/environment nexus that leads to disease in human populations ; disease transmission reduction . ","BISC 103;BISC 120","","","","",""
"BISC 103","BISC 103Lgx General Biology for the Environment and Life","Study of common skills in biology , including basics of evolution , systematics , ecology , genetics , biochemistry and molecular biology , physiology , and anatomy .","","","","","",""
"GEOL 160","GEOL 160Lg Introduction to Geosystems","Survey of natural geological/ environmental processes (systems) and variability active near the earth’s surface in the region that houses most life (the biosphere) .","","","","","",""
"POSC 270","POSC 270 Introduction to Environmental Law and Politics","Overview of environmental policy , law and politics at the international , domestic and local levels . Social science gateway to the environmental studies major . ","ENST 100","","","","POSC 347",""
"ENST 344","ENST 344 Environmental Ethics","Explores issues concerning behavior of humans towards the nonhuman world . Examines a wide spectrum of ethical issues . ","ENST 100;ENST 150","","","","","csr00123/0.312;csr00246/0.312"
"ENST 442","Global Climate Change : Policy and Society","Examines climate change policy at the international , national , state , and local levels , and explores the role civil society plays in climate change politics . ","ENST 320;POSC 270","","","","",""
"ENST 445","ENST 445 Earth Climate : Past , Present , and Future","Examination of the tools used to reconstruct past climate change and a thorough discussion of past climate changes on earth with an emphasis on the recent past . ","MATH 118;MATH 125;ENST 320","","","","",""
"ENST 480","Integrated Ecosystem Management in Micronesia","Field studies in ecosystem management tools used to investigate complex environmental problems in Micronesia . Historical , cultural , and scientific topics , direct observations of biological , physical , and chemical conditions .","","","","ENST 298","",""
"ENST 492","ENST 492 Directed Environmental Policy and Science Internship","Provides opportunities for professional development in environmental policy and science and prepares students for career or graduate school in environmental-related fields . Students are placed in internships and guided before and during the internship period . Students gain practical experience and learn how government and nongovernmental organizations pursue and implement environmental policy and science work .","","","","","",""
"GEOL 470","GEOL 470L Environmental Hydrogeology","Concepts in hydrogeology and application to environmental problems . Topics include groundwater and surface water hydrology , chemistry , and contamination . Includes labs , guest lectures , and field trips .","","GEOL 105;GEOL 160","","","",""
"BISC 427","BISC 427 The Global Environment","Earth’s development as a habitable planet , from origin to human impacts on global biogeochemical cycles in the ocean , land , atmosphere . Discussion of environmental alternatives . Open only to biological sciences , environmental sciences , and earth sciences majors . ","BISC 120;BISC 121;CHEM 105;CHEM 115","","","","",""
"GEOL 425","GEOL 425 L Data Analysis in the Earth and Environmental Sciences","Introduction to mathematical methods giving insight into earth and environmental data . Topics include probability and statistics , timeseries analysis , spectral analysis , inverse theory , interpolation .","","MATH 126","","","",""
"GEOL 450","GEOL 450 L Geosystems","Geosystems , such as mantle convection , active faults , climate , and the carbon cycle , will be studied using numerical models and concepts such as chaos , universality , emergence , and intermittency . ","MATH 125;MATH 126","","","","",""
"POSC 436","POSC 436 Environmental Politics","The political realities of selected environmental issues ; resolving and implementing social priorities ; interests , attitudes , strategies , and tactics of pressure groups ; institutional biases and opportunities .","","","","","",""
"PPD 420","Environmental Impact Assessment","Exploration of the role of the National Environmental Policy Act and the California Environmental Policy Act ; study of environmental impact assessments including the regulatory aspects , stakeholder and participatory processes , and legal framework .","","","","","",""
"PPD 314","Public Policy and Law","Institutional foundations and analysis of public policy issues ; policy formulation and implementation ; application of theories ; case analyses .","","","","","",""
"PPD 315","Analytic Foundations for Public Policy","Qualitative methods of analysis ; ethical and political implications of policy choices ; issue diagnosis and policy design skills ; critical reasoning and ethics ; policy leadership .","","","","","",""
"PPD 353","PPD 353 Philanthropy and Social Change","History , theories , philosophies , and practices of philanthropy ; relationship between philanthropy and nonprofit world ; grant-making procedures and relation to social innovation .","","","","","",""
"PPD 382","PPD 382 International Development","Definitions and measurements of development ; impact of globalization ; concept and practice of international and development administration and planning at local , national , and global governance levels .","","","","","PLDV 405",""
"PPD 410","Comparative Urban Development","Urbanization and urban development and growth through an international scope ; globalizing cities .","","","","","",""
"PPD 427","PPD 427 L Geographic Information Systems and Planning Applications","Basic GIS concepts , ArcView and other GIS software , planning applications and databases , basic cartography ; students select , research and prepare a planning GIS analysis project .","","","","","","csr02369/0.3595;csr01335/0.3545;csr00909/0.3525"
"PPD 478","PPD 478 Social Innovation","Strategies and processes of social innovation and change ; examination of social change in the market , government , and within the nonprofit sector ; dynamics ; civic action and activism .","","","","","","csr02130/0.39899999999999997;csr00845/0.3745;csr01407/0.3745;csr01860/0.3495;csr00838/0.33749999999999997;csr01052/0.33749999999999997;csr01799/0.3035"
"BISC 352","BISC 352 Conservation Biology","Principles of conservation science in marine and terrestrial ecosystems with emphasis on protecting biological diversity and balancing the needs of nature with those of humans .","","BISC 103;BISC 120;BISC 121","","","",""
"ENST 310","ENST 310 Sustainable Fisheries Management","Examination of scientific , social , political , and economic factors of fisheries management , engaging students in key issues of coastal and marine sustainability . ","ENST 100","","","","",""
"ENST 370","Marine and Coastal Environmental Policy","Survey of major environmental policies both international and domestic as they relate to fisheries , shipping , pollution , seaports and coastal management .","","ENST 100;ENST 387","","","",""
"BISC 315","BISC 315 L Introduction to Ecology","Organism-environment interactions ; dynamics of populations , communities , and ecosystems ; evolutionary forces . ","BISC 120;BISC 121","","","","",""
"BISC 447","BISC 447 L Island Biogeography and Field Ecology","Biogeography , geology , ecology , climate , flora , and fauna of terrestrial and marine environments of Catalina and the Channel Islands including laboratory and field techniques of ecology . Taught on Catalina Island . ","BISC 120;BISC 121","","","","",""
"BISC 469","BISC 469L Marine Biology","Oceanography and marine biology , sampling techniques , evolutionary adaptations , morphology , systematics . ","BISC 103;BISC 120;BISC 121","","","","",""
"MOR 466","MOR 466 Business and Environmental Sustainability","Focuses on how businesses both contribute to and can help address environmental sustainability challenges and the role of the broader political-economy in shaping that interaction .","","","","","ENST 450",""
"GEOG 360","GEOG 360 Environmental Disasters","Evaluates the causes , effects , and responses to international environmental disasters . Emphasis is on contemporary case studies in a theoretical context .","","","","","",""
"IR 422","Ecological Security and Global Politics","Should environmental issues be treated as threats to security? Survey of recent literature explores global environmental politics using a security framework .","","","","","",""
"ART 494","ART 494a Senior Thesis","Individual research under guidance of faculty member for senior-level BFA students , leading to a substantial paper or other project .","","","","","",""
"FREN 250","French IV","Introduction to French literature through the study of texts and audiovisuals organized around a central theme ; develops close-reading techniques and discursive skills ; reviews French grammar . ","FREN 220","","","","",""
"FREN 300","French Grammar and Composition","Grammatical structure and vocabulary building with practical application to written composition . ","FREN 250","","","","",""
"FREN 330","Critical Writing in French","Advanced composition through critical reading of literary texts ; comprehensive analysis of difficult grammatical structures and stylistics . ","FREN 300","","","","",""
"FREN 310","Media French","Analysis of French media . Practice in sustained conversation . Emphasis on spoken sentence patterns . ","FREN 250","","","","",""
"FREN 320","FREN 320g The French New Wave and its Legacy","Film-making in France from the earliest experiments to current trends . Emphasis on the political , social , historical context of French films . Taught in English . Reading knowledge of French recommended .","","","","","",""
"FREN 347","FREN 347 Race , Gender and Power in Francophone Literature","Study of post-colonialism as a ferment for literary creation in the literature of French expression from Africa , the Caribbean and Canada . Conducted in French .","","","","FREN 330","",""
"FREN 351","Introduction to Research in French and Francophone Cultures","Introduction to research methods through the study of a specific topic in French and/or Francophone literature and culture .","","","","FREN 330","",""
"FREN 360","Business and Technical French","ecific vocabulary and formulae used in international commerce . Attention given to developing vocabulary and standard forms appropriate to individual career objectives .","","FREN 330","","","",""
"FREN 370","FREN 370gm Equality and Difference around the Enlightenment","18th - and 20th century debates around the idea of equality and the notion of difference . Relevance of the Enlightenment to contemporary discussions of identity , citizenship , and human rights . Conducted in English .","","","","","",""
"FREN 373","FREN 373g Remembering Loss , Writing Memory","An exploration into how genocides and episodes of mass violence have been thought about , remembered and expressed in France and the Francophone world . Conducted in English .","","","","","",""
"FREN 375","FREN 375gmw Global Narratives of Illness and Disability","Study of difference as represented through French , Francophone and related narratives of disability and illness , with attention to race and gender . Conducted in English .","","","","","",""
"FREN 382","Paris Avant-Gardes","Exploration of experimental artistic collaborations between poets , novelists , art critics and artists of the Paris Avant-gardes in 19th and 20th century . Taught in French . Paris Semester . ","FREN 330","","","FREN 330","",""
"FREN 383","FREN 383 French Women Writers","Major figures and their roles in French society and contributions to French literature . Conducted in French .","","","","FREN 330","",""
"FREN 392","FREN 392 Seminar in Literary and Cultural Studies","Selected topics in French and Francophone literature and culture . Conducted in French .","","","","FREN 330","",""
"FREN 393","Seminar in French Thought and Theory","Introduction to important trends in recent French philosophy , political and social theory , psychoanalysis , ethnology , semiotics , and media studies . Emphasis to be determined by department . Conducted in English .","","","","","",""
"FREN 401","FREN 401 Studies in Early Modernity","Study and analysis of representative works and major intellectual , cultural , and artistic trends from the early modern period (pre-1789) . ","FREN 330","","","","",""
"FREN 402","FREN 402 Studies in Modernity","Study and analysis of representative works and major intellectual , cultural , and artistic trends from the modern period (post-1789) . ","FREN 330","","","","",""
"FREN 403","FREN 403 Studies in Colonialism and Postcolonialism","Study and analysis of colonialism and postcolonialism in French and Francophone contexts . ","FREN 330","","","","",""
"FREN 404","Studies in an Author","Close readings in works of a single influential French or Francophone author . Focused study of style , creative developments , historical context . Conducted in French . ","FREN 330","","","","",""
"FREN 410","Actualités Françaises","Present day French life through readings in French periodicals and viewing of French films and art exhibits . Non-majors prepare assignments in English . Conducted in French . Spring semester in Paris only .","","FREN 330","","","",""
"FREN 432","French Theatre","(Paris Semester only) A survey of French theatre from the 17th century to the present . Students read plays ranging from classical comedy and tragedy to modern movements . Live theatre performances will supplement class work . Taught in French . ","FREN 330","","","","",""
"FREN 445","FREN 445 Studies in Gender , Feminism and Sexuality","Major feminist thinkers and writers viewed from the perspective of the evolution of gender and sexuality in contemporary France . Conducted in French . ","FREN 330","","","","",""
"FREN 446","FREN 446 Contemporary French Thought","Readings in structuralism , post-structuralism , feminism , and deconstruction . Conducted in French . ","FREN 330","","","","",""
"FREN 448","FREN 448m France and Islam","Historical and theoretical analyses of the complex history of Western perceptions of Islam , focusing on France . Taught in French . ","FREN 330;REL 137","","","","",""
"FREN 449","Studies in French Civilization","(Paris Semester only) An analysis of the prestige of Paris , past and present , based upon close examination of literary texts and graphic materials , and visits to sites and monuments .","","FREN 300","","","",""
"FREN 464","FREN 464 Colloquium : French Civilization","Selected topics such as the press , educational institutions , French cinema today , and French colonial history . Conducted in French . ","FREN 330","","","","",""
"FREN 490","FREN 490x Directed Research","Individual research and readings .","","","","","","csr01115/0.3215"
"FREN 499","FREN 499 Special Topics","Selected topics in French . ","FREN 330","","","","",""
