"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"MUCO 221","MUCO 221a x Composition for Non-Majors","Introduction to the composition of concert music . Includes set exercises , free composition , study of selected compositions . Intended for interested , qualified students not majoring in composition . ","MUCO 221;MUCO 130;MUCO 133","","","","",""
"CTIN 497","CTIN 497 Interactive Media Startup","Pitching , production planning , forming a company and seeking funding for your creative media idea .","","","","","CTIN 497",""
"AHIS 429","Studies in Art , Science , and Technology","Examination of the connections between art , science , and technology , focusing on a specific time period and/or set of questions .","","","","","",""
"SWMS 310","SWMS 310 Gender and Social Justice","Exploration of the ways in which developments and policies , including neoliberalism , the carceral state , and economic precarity , are connected and gendered .","","","","","",""
"BISC 483","BISC 483 Geobiology and Astrobiology","Relationships between microbiota and the earth environment including the hydrosphere , lithosphere and atmosphere , with consideration of the potential for life on other planets . ","BISC 120;CHEM 105","","","","",""
"GEOL 433","GEOL 433 L Paleontology and Evolution in Deep Time","Origin and evolution of life ; Precambrian life ; evolutionary history of major groups during the Phanerozoic ; mass extinctions ; deep time and evolutionary processes .","","","","","",""
"BISC 474","BISC 474L Ecosystem Function and Earth Systems","General principles of ecosystem function , energy flow and materials cycling in marine systems at various scales and the importance of microbial processes in these systems . Taught on Catalina Island . ","BISC 120;BISC 121","","","","",""
"GEOL 460","GEOL 460 L Geochemistry","Composition , origin , and evolution of the earth ; principles of physical chemistry applied to aqueous systems ; reaction-diffusion modeling and problems in sedimentary geochemistry ; global (bio)geochemical cycles and environmental problems . ","CHEM 105;CHEM 115;MATH 126","","","","",""
"GEOL 316","GEOL 316 L Petrologic Systems","Formation and identification of igneous , metamorphic and sedimentary rocks ; interpretation of tectonic and environmental settings based on rock type and chemistry . ","GEOL 315","","","","",""
"GEOL 321","GEOL 321 L Structural Geology and Tectonics","Field and theoretical aspects of rock deformation , analysis of structural systems , and stress and strain ; orogenic belts and plate tectonics ; introduction to field techniques and construction of geologic maps .","","GEOL 320","","","",""
